"","gene","start","end"
"104","araC",121528,122485
"105","yabI",122593,123371
"106","yabJ",123410,124136
"107","yabK",124101,125728
"108","tbpA",125687,126680
"109","yabN",126848,128522
"110","leuD",129057,129674
"111","leuC",129673,131086
"112","leuB",131076,132181
"113","leuA",132167,133758
"114","leuL",133826,134057
"115","leuO",134557,135513
"116","ilvI",135770,137559
"117","ilvH",137550,138053
"118","fruR",138326,139341
"119","yabB",139931,140405
"120","yabC",140388,141348
"121","ftsL",141333,141710
"122","ftsI",141709,143492
"123","murE",143469,144966
"124","murF",144949,146321
"125","mraY",146301,147397
"126","murD",147386,148716
"127","ftsW",148702,149960
"128","murG",149947,151024
"129","murC",151131,152618
"130","ddlB",152595,153531
"131","ftsQ",153375,154363
"132","ftsA",154346,155622
"133","ftsZ",155670,156834
"134","lpxC",156919,157852
"135","yacA",158199,158627
"136","secA",158689,161394
"137","mutT",161532,161941
"138","yacG",162263,162465
"139","yacF",162464,163221
"140","yacE",163207,163835
"141","guaC",164040,165096
"142","hofC",165127,166342
"143","hofB",166319,167715
"144","ppdD",167714,168163
"145","nadC",168373,169279
"146","ampD",169341,169917
"147","ampE",169903,170768
"148","STM0148",170860,171822
"149","STM0149",171810,173227
"150","aroP",173380,174812
"151","pdhR",175153,176080
"152","aceE",176227,178903
"153","aceF",178904,180807
"154","lpdA",180898,182431
"155","STM0155",182714,183004
"156","STM0156",183042,183840
"157","yacH",183846,185488
"158","acnB",185843,188454
"159","STM0159",188515,189363
"160","yacL",189591,189965
"161","kdgT",190186,191153
"162","STM0162",191145,192421
"163","STM0163",192403,193394
"164","STM0164",193399,194171
"165","speD",194201,195011
"166","speE",195016,195889
"167","yacC",195983,196342
"168","cueO",196520,198142
"169","gcd",198220,200623
"170","hpt",200804,201352
"171","yadF",201410,202088
"172","yadG",202173,203107
"173","yadH",203091,203874
"174","stiH",203991,205077
"175","stiC",205079,207631
"176","stiB",207652,208341
"177","stiA",208383,208928
"178","yadI",209282,209733
"179","yadE",209795,211024
"180","panD",211031,211426
"181","panC",211506,212373
"182","panB",212486,213288
"183","folK",213398,213888
"184","pcnB",213874,215292
"185","yadB",215433,216374
"186","dksA",216398,216866
"187","sfsA",217030,217745
"188","ligT",217751,218281
"189","hrpB",218296,220783
"190","mrcB",220911,223446
"191","fhuA",223726,225928
"192","fhuC",225977,226774
"193","fhuD",226774,227664
"194","fhuB",227651,229718
"195","stfA",230647,231218
"196","stfC",231287,233961
"197","stfD",233964,234731
"198","stfE",234737,235262
"199","stfF",235245,235735
"200","stfG",235718,236265
"201","STM0201",236265,237104
"202","hemL",237212,238505
"203","yadQ",238662,240083
"204","yadR",240120,240509
"205","yadS",240610,241247
"206","btuF",241270,242077
"207","pfs",242063,242761
"208","dgt",242840,244363
"209","htrA",244493,245920
"210","cdaR",246061,247230
"211","yaeH",247319,247717
"212","STM0212",247943,249253
"213","dapD",249290,250114
"214","glnD",250144,252825
"215","map",253053,253860
"216","rpsB",254285,255023
"217","tsf",255269,256132
"218","pyrH",256265,257002
"219","frr",257136,257706
"220","dxr",257836,259043
"221","uppS",259337,260114
"222","cdsA",260114,260984
"223","yaeL",260988,262348
"224","yaeT",262380,264794
"225","hlpA",264905,265402
"226","lpxD",265391,266431
"227","fabZ",266524,266992
"228","lpxA",266984,267784
"229","lpxB",267768,268932
"230","rnhB",268915,269525
"231","dnaE",269536,273031
"232","accA",272938,274003
"233","STM0233",274177,275947
"234","ldcC",276012,278164
"235","yaeR",278209,278609
"236","mesJ",278665,279964
"237","rof",280048,280321
"238","yaeP",280295,280517
"239","yaeQ",280680,281238
"240","yaeJ",281220,281657
"241","proS",282468,284202
"242","yaeB",284297,285012
"243","rcsF",285001,285416
"244","yaeC",285524,286351
"245","yaeE",286378,287044
"246","abc",287024,288063
"247","yaeD",288230,288811
"248","rrsH",289190,290733
"249","ileV",290801,290874
"250","alaV",290987,291059
"251","rrlH",291245,294337
"252","rrfH",294520,294641
"253","aspU",294839,294912
"254","yafB",295060,295873
"255","yafC",295894,296819
"256","STM0257",296901,298088
"257","yafD",298241,299020
"258","yafE",299083,299868
"259","dniR",299924,301291
"260","gloB",301363,302128
"261","yafS",302140,302875
"262","rnhA",302872,303356
"263","dnaQ",303403,304134
"264","aspV",304278,304351
"265","STM0266",304666,305721
"266","STM0267",305732,306732
"267","STM0268",306724,308613
"268","STM0269",308623,309125
"269","STM0270",309114,309944
"270","STM0271",309925,310832
"271","STM0272",311190,313834
"272","STM0273",313927,314476
"273","STM0274",314493,316008
"274","STM0274A",316071,316181
"275","STM0275",316308,316640
"276","STM0276",316888,317379
"277","STM0277",317678,318169
"278","STM0278",318150,318537
"279","STM0279",318674,319165
"280","STM0280",319225,319768
"281","STM0281",319768,321115
"282","STM0282",321106,322416
"283","STM0283",322414,323194
"284","STM0284",323391,323828
"285","STM0285",323857,327731
"286","STM0286",327726,328519
"287","STM0287",328510,328932
"288","STM0288",328950,329477
"289","STM0289",329867,332063
"290","STM0290",332080,332533
"291","STM0291",332541,336646
"292","STM0292",337088,337836
"293","STM0293",337825,338276
"294","STM0294",338835,339276
"295","STM0295",340039,340353
"296","STM0296",340455,340703
"297","safA",342207,342722
"298","safB",342830,343543
"299","safC",343560,346077
"300","safD",346092,346569
"301","ybeJ",346968,347796
"302","sinR",348606,349558
"303","STM0305",349672,349890
"304","STM0306",349894,350619
"305","STM0307",350944,351358
"306","yafV",351722,352503
"307","yafH",352598,355058
"308","ghmA",355270,355860
"309","yafJ",356063,356840
"310","yafK",356811,357565
"311","dinP",357788,358856
"312","prfH",360188,360818
"313","pepD",360974,362444
"314","gpt",362662,363138
"315","yafA",363212,364471
"316","crl",364517,364930
"317","phoE",364981,366179
"318","proB",366309,367419
"319","proA",367418,368681
"320","thrW",368807,368879
"321","STM0324",369153,369380
"322","STM0325",369198,369998
"323","STM0327",370726,371063
"324","STM0328",371397,372642
"325","STM0329",372766,374195
"326","STM0330",374190,374823
"327","STM0331",374831,375716
"328","STM0332",375712,376630
"329","STM0333",376656,377629
"330","STM0334",377574,377854
"331","STM0335",378531,378935
"332","stbE",378982,379748
"333","stbD",379706,381038
"334","stbC",381036,383603
"335","stbB",383581,384357
"336","stbA",384404,384948
"337","STM0341",385574,386338
"338","STM0342",386306,386610
"339","STM0343",387105,388684
"340","STM0344",388778,389527
"341","STM0345",389494,389988
"342","STM0346",390383,390913
"343","STM0347",391057,391698
"344","STM0348",391703,391933
"345","STM0349",391984,392350
"346","STM0350",392420,393948
"347","STM0351",393894,397067
"348","STM0352",397058,398290
"349","STM0353",398554,400849
"350","STM0354",400853,401325
"351","STM0355",401396,401597
"352","STM0356",401883,403143
"353","mod",403326,405290
"354","res",405293,408272
"355","STM0359",408544,408650
"356","STM0360",408761,410170
"357","STM0361",410159,411177
"358","STM0362",411177,411308
"359","STM0363",411510,412518
"360","foxA",412664,414772
"361","yahN",414813,415461
"362","yahO",415665,415952
"363","prpR",416088,417730
"364","prpB",417967,418865
"365","prpC",418979,420157
"366","prpD",420182,421648
"367","prpE",421677,423575
"368","hemB",423679,424663
"369","yaiU",425151,428102
"370","yaiV",428177,428811
"371","ampH",428856,429986
"372","sbmA",430348,431580
"373","yaiW",431584,432689
"374","yaiY",432727,433047
"375","yaiZ",433292,433518
"376","ddlA",433544,434656
"377","STM0381",434712,435429
"378","STM0382",435598,436809
"379","yaiB",437092,437366
"380","psiF",437706,438038
"381","yaiC",438111,439242
"382","proC",439257,440080
"383","yaiI",440194,440661
"384","aroL",440687,441391
"385","yaiA",441407,441609
"386","aroM",441846,442537
"387","yaiE",442595,442892
"388","rdgC",442930,443853
"389","yajF",443955,444875
"390","araJ",444897,446125
"391","sbcC",446242,449396
"392","sbcD",449379,450592
"393","phoB",450723,451485
"394","phoR",451540,452850
"395","brnQ",453243,454578
"396","proY",454644,456023
"397","malZ",456172,458002
"398","STM0402",458074,458684
"399","yajB",458886,459478
"400","queA",459561,460625
"401","tgt",460811,461949
"402","yajC",461960,462304
"403","secD",462320,464179
"404","secF",464178,465161
"405","STM0409",465301,465674
"406","STM0410",465700,466392
"407","yajD",466546,466909
"408","STM0412",467157,467483
"409","tsx",467538,468539
"410","yajI",468701,469255
"411","ybaD",469381,469841
"412","ribD",469833,470948
"413","ribH",471023,471507
"414","nusB",471516,471947
"415","thiL",472014,473003
"416","pgpA",472970,473496
"417","yajO",473600,474587
"418","dxs",474631,476493
"419","ispA",476517,477431
"420","xseB",477417,477679
"421","thiI",477869,479317
"422","phnV",479361,480165
"423","phnU",480161,481027
"424","phnT",481024,482133
"425","phnS",482139,483157
"426","phnR",483350,484085
"427","phnW",484203,485312
"428","phnX",485312,486131
"429","thiJ",486228,486831
"430","apbA",486781,487703
"431","yajQ",487800,488309
"432","yajR",488356,489705
"433","STM0436A",489948,490109
"434","STM0437",490250,491768
"435","STM0438",491986,493273
"436","cyoE",493355,494254
"437","cyoD",494257,494600
"438","cyoC",494586,495212
"439","cyoB",495190,497193
"440","cyoA",497192,498229
"441","ampG",498601,500094
"442","yajG",500120,500760
"443","bolA",500990,501319
"444","tig",501655,502964
"445","clpP",503199,503834
"446","clpX",504073,505357
"447","lon",505532,507897
"448","hupB",508058,508378
"449","cypD",508651,510540
"450","ybaV",510676,511064
"451","ybaW",511154,511566
"452","ybaX",511672,512377
"453","ybaE",512432,514142
"454","cof",514221,515051
"455","STM0458",515101,516161
"456","ybaO",516258,516727
"457","mdlA",516755,518540
"458","mdlB",518520,520314
"459","glnK",520515,520865
"460","amtB",520883,522183
"461","tesB",522283,523156
"462","ybaY",523346,523927
"463","ybaZ",523960,524359
"464","ffs",524427,524542
"465","ylaB",524580,526142
"466","rpmE2",526346,526615
"467","rpmJ2",526616,526761
"468","ylaC",526817,527297
"469","maa",527404,527969
"470","hha",528134,528364
"471","ybaJ",528380,528767
"472","acrB",529250,532415
"473","acrA",532422,533626
"474","acrR",533757,534410
"475","aefA",534529,537891
"476","STM0479",537933,538874
"477","ybaM",538938,539116
"478","priC",539119,539634
"479","ybaN",539715,540092
"480","apt",540232,540796
"481","dnaX",540910,542838
"482","ybaB",542874,543213
"483","recR",543199,543818
"484","htpG",543905,545803
"485","adk",546029,546688
"486","hemH",546908,547879
"487","aes",547876,548859
"488","gsk",549000,550304
"489","ybaL",550353,552040
"490","fsr",552244,553464
"491","ushA",553624,555289
"492","ybaK",555406,555895
"493","ybaP",556087,556893
"494","STM0497",556967,557800
"495","copA",557948,560463
"496","cueR",560548,560975
"497","ybbJ",560976,561440
"498","ybbK",561425,562356
"499","ybbL",562474,563166
"500","ybbM",563140,563932
"501","ybbN",564018,564872
"502","ybbO",564932,565713
"503","tesA",565857,566488
"504","ybbA",566430,567128
"505","ybbP",567114,569539
"506","STM0509",569718,570858
"507","sfbA",571109,571945
"508","sfbB",571975,572998
"509","sfbC",572984,573650
"510","ybbB",573689,574801
"511","ybbS",574853,575795
"512","allA",575994,576488
"513","allR",576550,577385
"514","gcl",577456,579251
"515","gip",579254,580040
"516","glxR",580131,581019
"517","STM0520",581079,582332
"518","ybbV",582408,582662
"519","allP",582569,583882
"520","allB",583949,585322
"521","ybbY",585370,586679
"522","glxK",586691,587850
"523","ylbA",587930,588727
"524","allC",588726,589973
"525","allD",589983,591043
"526","fdrA",591352,593027
"527","ylbE",593026,594296
"528","ylbF",594308,595117
"529","arcC",595110,596014
"530","purK",596055,597134
"531","purE",597119,597717
"532","lpxH",597746,598468
"533","ppiB",598471,598977
"534","cysS",599126,600523
"535","STM0538",600567,601395
"536","STM0539",601388,601832
"537","ybcI",601818,602363
"538","ybcJ",602491,602715
"539","folD",602705,603588
"540","fimA",604107,604675
"541","fimI",604747,605284
"542","fimC",605313,606020
"543","fimD",606039,608663
"544","fimH",608664,609685
"545","fimF",609684,610213
"546","fimZ",610259,610904
"547","fimY",611495,612223
"548","STM0551",612236,612555
"549","fimW",612709,613311
"550","argU",613570,613643
"551","STM0554",613596,613797
"552","STM0557",614807,616459
"553","yfdH",616440,617378
"554","rfbI",617363,617725
"555","STM0561",618593,618927
"556","STM0562",619026,619210
"557","STM0563",619261,620126
"558","STM0564",620318,621656
"559","STM0565",621801,622049
"560","STM0566",622048,622622
"561","STM0567",622701,623882
"562","pheP",624190,625596
"563","ybdG",625638,626896
"564","apeE",627189,629166
"565","STM0571",629328,632062
"566","STM0572",632190,633188
"567","STM0573",633243,634290
"568","STM0574",634319,635181
"569","STM0575",635176,635926
"570","STM0576",635934,636410
"571","STM0577",636382,636838
"572","nfnB",637031,637695
"573","ybdF",637781,638160
"574","STM0580",638149,638735
"575","STM0581",639012,639360
"576","ybdJ",639366,639614
"577","ybdK",639681,640799
"578","entD",640811,641534
"579","fepA",641561,643981
"580","fes",643995,645219
"581","ybdZ",645242,645468
"582","entF",645454,649349
"583","fepE",649586,650735
"584","fepC",650788,651599
"585","fepG",651579,652584
"586","fepD",652568,653728
"587","ybdA",653675,654930
"588","fepB",654993,656126
"589","entC",656212,657433
"590","entE",657432,659053
"591","entB",659053,659924
"592","entA",659911,660679
"593","ybdB",660668,661095
"594","cstA",661264,663382
"595","ybdD",663439,663643
"596","ybdH",663679,664781
"597","ybdL",664876,666054
"598","ybdM",666055,666689
"599","ybdN",666645,667897
"600","ybdO",668046,668961
"601","dsbG",669265,670022
"602","ahpC",670350,671015
"603","ahpF",671245,672822
"604","STM0610",673148,673714
"605","STM0611",673695,675986
"606","STM0612",675977,676540
"607","STM0613",676533,677307
"608","ybdQ",677375,677818
"609","ybdR",678015,679264
"610","rnk",679347,679769
"611","rna",679992,680798
"612","citT",680908,682385
"613","citG",682409,683318
"614","citX",683277,683846
"615","citF",683832,685372
"616","citE",685371,686290
"617","citD",686276,686582
"618","citC",686569,687661
"619","dpiB",688019,689691
"620","dpiA",689647,690340
"621","dcuC",690394,691790
"622","pagP",692158,692730
"623","cspE",692906,693127
"624","crcB",693185,693580
"625","ybeM",693642,694447
"626","ybeC",694567,694779
"627","lipA",694865,695846
"628","ybeF",696036,697002
"629","lipB",697291,697872
"630","ybeD",698032,698306
"631","dacA",698404,699615
"632","rlpA",699755,700912
"633","mrdB",700911,702037
"634","mrdA",702026,703945
"635","ybeA",703958,704438
"636","ybeB",704429,704758
"637","cobC",705075,705693
"638","cobD",705773,706874
"639","nadD",706849,707499
"640","holA",707492,708523
"641","rlpB",708523,709121
"642","leuS",709128,711727
"643","STM0649",711947,712288
"644","STM0650",712300,713477
"645","STM0651",713522,714480
"646","STM0652",714541,716476
"647","ybeL",716558,717042
"648","ybeQ",717081,718096
"649","ybeR",718188,718908
"650","ybeS",718897,720338
"651","ybeU",720336,721045
"652","ybeV",721026,722514
"653","hscC",722536,724215
"654","STM0660",724291,725535
"655","ybeK",725561,726507
"656","gltL",726613,727350
"657","gltK",727338,728026
"658","gltJ",728012,728765
"659","gltI",728912,729847
"660","lnt",730175,731724
"661","ybeX",731733,732629
"662","ybeY",732769,733259
"663","phoL",733239,734331
"664","miaB",734490,735914
"665","ubiF",736044,737233
"666","STM0672",737300,737878
"667","glnX",738014,738085
"668","glnV",738132,738203
"669","metU",738253,738326
"670","glnW",738345,738416
"671","glnU",738455,738526
"672","leuW",738553,738634
"673","metT",738646,738719
"674","asnB",738942,740618
"675","nagD",740896,741659
"676","nagC",741695,742921
"677","nagA",742920,744086
"678","nagB",744134,745013
"679","nagE",745168,747213
"680","glnS",747412,749091
"681","ybfM",749525,750943
"682","ybfN",750981,751325
"683","citA",751374,752685
"684","citB",752729,753875
"685","STM0691",753855,755263
"686","STM0692",755356,756295
"687","fur",756397,757003
"688","fldA",757131,757676
"689","ybfE",757812,758122
"690","ybfF",758239,759009
"691","seqA",759184,759736
"692","pgm",759749,761401
"693","STM0699",761516,762001
"694","potE",762066,763399
"695","speF",763382,765590
"696","kdpE",766342,767027
"697","kdpD",767016,769717
"698","kdpC",769697,770291
"699","kdpB",770290,772353
"700","kdpA",772359,774130
"701","STM0707",774038,774134
"702","ybfA",774450,774670
"703","phrB",774771,776202
"704","ybgH",776241,777733
"705","ybgI",778039,778794
"706","ybgJ",778799,779466
"707","ybgK",779449,780392
"708","ybgL",780368,781116
"709","STM0715",781440,781571
"710","STM0716",781618,782197
"711","STM0717",782650,782992
"712","STM0718",782988,783734
"713","STM0719",784020,785171
"714","STM0720",785168,786064
"715","STM0721",786070,787210
"716","STM0722",787333,788109
"717","STM0723",788108,788823
"718","STM0724",788912,790695
"719","STM0725",790884,791721
"720","STM0726",791779,793674
"721","STM0727",793737,793879
"722","nei",793916,794719
"723","abrB",794774,795833
"724","gltA",795957,797303
"725","STM0731",797200,797586
"726","sdhC",797906,798384
"727","sdhD",798365,798725
"728","sdhA",798708,800491
"729","sdhB",800494,801224
"730","sucA",801627,804549
"731","sucB",804553,805772
"732","sucC",805897,807080
"733","sucD",807066,807949
"734","cydA",809352,811100
"735","cydB",811103,812255
"736","ybgT",812263,812383
"737","ybgE",812505,812801
"738","ybgC",813018,813434
"739","tolQ",813417,814123
"740","tolR",814115,814555
"741","tolA",814607,815843
"742","tolB",815950,817259
"743","pal",817280,817818
"744","ybgF",817819,818616
"745","lysT",818778,818850
"746","valT",818985,819057
"747","lysW",819064,819136
"748","lysY",819189,819261
"749","lysZ",819399,819471
"750","nadA",820225,821279
"751","pnuC",821292,822023
"752","ybgR",822020,822971
"753","ybgS",823069,823467
"754","aroG",823653,824827
"755","STM0761",824921,825473
"756","STM0762",825481,826333
"757","STM0763",826495,827346
"758","STM0764",827347,828330
"759","STM0765",828574,829821
"760","dcoC",829871,830116
"761","dcoB",831914,833223
"762","STM0769",833335,834040
"763","STM0770",834420,835499
"764","STM0771",835495,836275
"765","gpmA",836366,837131
"766","galM",837342,838395
"767","galK",838376,839537
"768","galT",839527,840585
"769","galE",840584,841667
"770","STM0777",841823,842736
"771","modF",842902,844389
"772","modE",844445,845245
"773","STM0780",845350,845511
"774","modA",845608,846451
"775","modB",846432,847140
"776","modC",847129,848201
"777","ybhA",848202,849032
"778","ybhE",849173,850179
"779","ybhC",850323,851618
"780","hutI",851838,853067
"781","hutG",853057,854005
"782","hutC",854043,854775
"783","hutH",856651,858178
"784","ybhB",858263,858750
"785","bioA",858797,860137
"786","bioB",860127,861213
"787","bioF",861199,862367
"788","bioC",862338,863106
"789","bioD",863083,863785
"790","uvrB",864348,866457
"791","STM0799",866766,866939
"792","slrP",866940,869244
"793","ybhK",869336,870255
"794","moaA",870632,871630
"795","moaB",871639,872164
"796","moaC",872156,872652
"797","moaD",872632,872890
"798","moaE",872879,873344
"799","ybhL",873380,874096
"800","ybhM",874243,874950
"801","STM0809",874968,875582
"802","STM0810",875583,876150
"803","ybhN",876153,877131
"804","ybhO",877115,878370
"805","ybhP",878353,879121
"806","ybhQ",879231,879654
"807","ybhR",879616,880732
"808","ybhS",880838,881981
"809","ybhF",881961,883707
"810","STM0818",883690,884700
"811","ybiH",884685,885370
"812","rhlE",885578,886953
"813","dinG",887150,889305
"814","ybiB",889323,890309
"815","ybiJ",890465,890737
"816","ybiI",891010,891288
"817","ybiN",891469,892407
"818","ybiO",892404,894634
"819","glnQ",894745,895482
"820","glnP",895464,896135
"821","glnH",896267,897024
"822","dps",897490,898127
"823","ybiF",898296,899194
"824","ompX",899528,900052
"825","ybiP",900115,901702
"826","STM0835",902263,902747
"827","ybiR",902728,903856
"828","ybiS",903900,904836
"829","ybiT",905027,906631
"830","STM0839",907240,907983
"831","ybiV(2)",908012,908739
"832","ybiU",908936,910210
"833","ybiV(1)",910450,911272
"834","pflF",911350,913795
"835","pflE",913788,914697
"836","moeB",914965,915727
"837","moeA",915714,916962
"838","ybiK",917139,918093
"839","yliA",918092,919975
"840","yliB",919996,921546
"841","yliC",921595,922527
"842","yliD",922515,923441
"843","yliG",923532,924857
"844","yliH",925072,925471
"845","STM0854",926180,926699
"846","STM0855",926613,927471
"847","STM0856",927475,928429
"848","STM0857",928716,929886
"849","STM0858",930328,932020
"850","STM0859",932026,932916
"851","STM0860",933181,933609
"852","yliI",933942,934633
"853","yliJ",934630,935267
"854","dacC",935480,936702
"855","deoR",936747,937515
"856","ybjG",937577,938194
"857","mdfA",938490,939730
"858","STM0867",939784,940613
"859","STM0868",940596,941820
"860","STM0869",941963,942595
"861","STM0870",942712,944412
"862","ybjM",944656,945045
"863","grxA",945077,945350
"864","ybjC",945500,945800
"865","mdaA",945772,946506
"866","rimK",946554,947466
"867","ybjN",947547,948039
"868","potF",948375,949500
"869","potG",949574,950721
"870","potH",950720,951684
"871","potI",951667,952526
"872","ybjO",952585,953073
"873","ybjF",953103,954246
"874","STM0884",954525,955872
"875","STM0885",955896,956222
"876","STM0886",956226,957719
"877","artJ",957938,958683
"878","artM",958906,959589
"879","artQ",959574,960305
"880","artI",960297,961028
"881","artP",961046,961774
"882","ybjP",962004,962531
"883","STM0893",962615,963952
"884","STM0894",963968,964216
"885","STM0895",964576,964890
"886","STM0896",965344,965740
"887","STM0897",966312,966733
"888","STM0898",967914,968613
"889","STM0898A",968722,968976
"890","STM0899",969470,969844
"891","STM0900",969994,971585
"892","STM0901",971577,972550
"893","STM0902",972544,973410
"894","STM0903",973402,974222
"895","STM0904",974377,974777
"896","STM0905",975827,976225
"897","STM0906",976808,977159
"898","STM0907",977156,977776
"899","STM0908",977762,978258
"900","STM0909",979087,979584
"901","STM0910",979563,981679
"902","STM0911",981873,983414
"903","STM0912",983260,985452
"904","STM0913",985466,986140
"905","STM0914",986129,986720
"906","STM0915",986712,987118
"907","STM0916",987122,987872
"908","STM0917",988334,988656
"909","STM0918",988621,991789
"910","STM0919",991782,992118
"911","STM0920",992238,992763
"912","STM0921",992889,993590
"913","STM0922",993596,994336
"914","STM0923",994228,994911
"915","STM0924",994965,995495
"916","STM0925",995583,999029
"917","STM0926",999067,1001445
"918","STM0927",1001440,1002020
"919","nanH",1002091,1003333
"920","STM0929",1003903,1004278
"921","STM0930",1005356,1005693
"922","ybjR",1005673,1006520
"923","STM0932",1006517,1007540
"924","ybjT",1007626,1009071
"925","ltaA",1009070,1010083
"926","poxB",1010110,1011844
"927","hcr",1011986,1012967
"928","hcp",1012966,1014629
"929","ybjE",1014762,1015677
"930","ybjD",1015855,1017521
"931","ybjX",1017518,1018486
"932","ybjY",1018604,1019732
"933","ybjZ",1019716,1021675
"934","cspD",1021805,1022040
"935","yljA",1022350,1022670
"936","clpA",1022655,1024977
"937","tnpA_1",1025163,1025627
"938","serW",1027444,1027528
"939","STM0950",1027682,1028366
"940","STM0951",1028379,1029247
"941","STM0952",1029343,1030259
"942","infA",1030350,1030577
"943","STM0954",1030496,1030885
"944","aat",1030880,1031600
"945","cydC",1031629,1033365
"946","cydD",1033351,1035117
"947","trxB",1035231,1036210
"948","lrp",1036670,1037239
"949","ftsK",1037360,1041429
"950","lolA",1041561,1042183
"951","ycaJ",1042183,1043536
"952","serS",1043785,1045087
"953","dmsA",1045269,1047768
"954","dmsB",1047767,1048396
"955","dmsC",1048385,1049261
"956","ycaD",1049598,1050759
"957","ycaM",1050965,1052398
"958","pflA",1052691,1053515
"959","STM0971",1053607,1053936
"960","STM0972",1054059,1055023
"961","pflB",1055099,1057510
"962","focA",1057441,1058474
"963","ycaO",1058703,1060463
"964","ycaP",1060583,1061292
"965","serC",1061470,1062566
"966","aroA",1062637,1063920
"967","ycaL",1064050,1064824
"968","cmk",1064803,1065680
"969","rpsA",1065699,1067467
"970","himD",1067568,1067907
"971","ycaI",1068128,1070401
"972","msbA",1070426,1072186
"973","lpxK",1072166,1073160
"974","ycaQ",1073192,1074436
"975","ycaR",1074480,1074670
"976","kdsB",1074651,1075413
"977","STM0989",1075608,1076517
"978","ycbC",1076497,1077288
"979","smtA",1077308,1078212
"980","mukF",1078194,1079527
"981","mukE",1079501,1080212
"982","mukB",1080201,1084678
"983","ycbB",1085010,1086864
"984","ycbK",1087124,1087672
"985","ycbL",1087690,1088347
"986","aspC",1088409,1089612
"987","ompF",1089784,1090975
"988","asnS",1091482,1092891
"989","STM1001",1093083,1093550
"990","STM1002",1093850,1095075
"991","STM1003",1095314,1096756
"992","pncB",1096834,1098221
"993","STM1005",1098231,1099531
"994","STM1006",1099568,1099823
"995","STM1007",1099857,1100104
"996","STM1008",1100139,1101300
"997","STM1009",1101259,1104151
"998","STM1010",1104271,1104570
"999","STM1011",1104743,1105009
"1000","STM1012",1105053,1105468
"1001","STM1013",1105788,1106162
"1002","STM1014",1106241,1107230
"1003","STM1015",1107221,1107982
"1004","STM1016",1107987,1108340
"1005","STM1017",1108331,1108648
"1006","STM1018",1108726,1109016
"1007","STM1019",1109302,1109541
"1008","STM1020",1109951,1110559
"1009","STM1021",1110762,1111379
"1010","STM1022",1111498,1112309
"1011","STM1023",1112372,1112693
"1012","STM1024",1112860,1112992
"1013","STM1025",1113128,1113583
"1014","STM1026",1113938,1114456
"1015","STM1027",1114977,1115229
"1016","STM1028",1115204,1115665
"1017","STM1029",1115677,1116162
"1018","STM1030",1116362,1116903
"1019","STM1031",1116854,1118998
