"","Chromosome","ChromStart","ChromEnd","Band","Stain","genes"
"70","chr1",81725,82523,"p9","gpos75","caiE"
"71","chr1",82564,84131,"p7","gpos50","caiD"
"72","chr1",84180,85410,"p6","gpos100","caiC"
"73","chr1",85509,86662,"p5","gpos100","caiB"
"74","chr1",86686,88216,"p6","gpos25","caiA"
"75","chr1",88547,89454,"p10","gpos75","caiT"
"76","chr1",89459,90411,"p7","gpos75","fixA"
"77","chr1",90450,91727,"p7","gpos100","fixB"
"78","chr1",91728,92031,"p5","gpos50","fixC"
"79","chr1",92166,93518,"p7","gpos75","fixX"
"80","chr1",93601,93837,"p4","gpos75","yaaU"
"81","chr1",94123,94547,"p5","gpos100","STM0080"
"82","chr1",94771,95069,"p4","gpos50","STM0081"
"83","chr1",95271,95465,"p2","gpos25","STM0082"
"84","chr1",95952,97848,"p2","gpos100","STM0083"
"85","chr1",98245,98764,"p4","gpos25","STM0084"
"86","chr1",98765,100640,"p4","gpos25","yabF"
"87","chr1",100826,101318,"p5","gpos75","kefC"
"88","chr1",101424,102272,"p2","gpos50","folA"
"89","chr1",102283,102662,"p2","gpos75","apaH"
"90","chr1",102663,103480,"p8","gpos25","apaG"
"91","chr1",103481,104470,"p7","gpos25","ksgA"
"92","chr1",104470,105767,"p9","gpos100","pdxA"
"93","chr1",105810,108170,"p1","gpos50","surA"
"94","chr1",108413,109236,"p2","gpos50","imp"
"95","chr1",109331,110002,"p9","gpos100","djlA"
"96","chr1",110002,112908,"p3","gpos100","rluA"
"97","chr1",113082,115445,"p2","gpos25","hepA"
"98","chr1",115477,116102,"p2","gpos75","polB"
"99","chr1",116294,116601,"p5","gpos75","STM0098"
"100","chr1",116816,117235,"p4","gpos100","STM0099"
"101","chr1",117241,117949,"p3","gpos100","STM0100"
"102","chr1",118077,119589,"p2","gpos25","araD"
"103","chr1",119590,121412,"p6","gpos100","araA"
"104","chr1",121528,122485,"p4","gpos50","araB"
"105","chr1",122593,123371,"p10","gpos50","araC"
"106","chr1",123410,124100,"p6","gpos100","yabI"
"107","chr1",124101,125686,"p10","gpos100","yabJ"
"108","chr1",125687,126680,"p2","gpos25","yabK"
"109","chr1",126848,128522,"p7","gpos100","tbpA"
"110","chr1",129057,129672,"p7","gpos50","yabN"
"111","chr1",129673,131075,"p6","gpos75","leuD"
"112","chr1",131076,132166,"p10","gpos50","leuC"
"113","chr1",132167,133758,"p10","gpos75","leuB"
"114","chr1",133826,134057,"p3","gpos25","leuA"
"115","chr1",134557,135513,"p2","gpos100","leuL"
"116","chr1",135770,137549,"p4","gpos75","leuO"
"117","chr1",137550,138053,"p6","gpos25","ilvI"
"118","chr1",138326,139341,"p10","gpos75","ilvH"
"119","chr1",139931,140387,"p5","gpos75","fruR"
"120","chr1",140388,141332,"p1","gpos25","yabB"
"121","chr1",141333,141708,"p7","gpos75","yabC"
"122","chr1",141709,143468,"p9","gpos25","ftsL"
"123","chr1",143469,144948,"p1","gpos50","ftsI"
"124","chr1",144949,146300,"p6","gpos50","murE"
"125","chr1",146301,147385,"p2","gpos25","murF"
"126","chr1",147386,148701,"p7","gpos50","mraY"
"127","chr1",148702,149946,"p10","gpos50","murD"
"128","chr1",149947,151024,"p7","gpos75","ftsW"
"129","chr1",151131,152594,"p10","gpos25","murG"
"130","chr1",152595,153374,"p1","gpos25","murC"
"131","chr1",153375,154345,"p9","gpos50","ddlB"
"132","chr1",154346,155622,"p7","gpos25","ftsQ"
"133","chr1",155670,156834,"p7","gpos100","ftsA"
"134","chr1",156919,157852,"p9","gpos100","ftsZ"
"135","chr1",158199,158627,"p2","gpos25","lpxC"
"136","chr1",158689,161394,"p2","gpos100","yacA"
"137","chr1",161532,161941,"p5","gpos50","secA"
"138","chr1",162263,162463,"p9","gpos100","mutT"
"139","chr1",162464,163206,"p2","gpos25","yacG"
"140","chr1",163207,163835,"p10","gpos25","yacF"
"141","chr1",164040,165096,"p1","gpos100","yacE"
"142","chr1",165127,166318,"p8","gpos75","guaC"
"143","chr1",166319,167713,"p6","gpos25","hofC"
"144","chr1",167714,168163,"p4","gpos25","hofB"
"145","chr1",168373,169279,"p5","gpos100","ppdD"
"146","chr1",169341,169902,"p6","gpos100","nadC"
"147","chr1",169903,170768,"p9","gpos25","ampD"
"148","chr1",170860,171809,"p10","gpos75","ampE"
"149","chr1",171810,173227,"p10","gpos100","STM0148"
"150","chr1",173380,174812,"p6","gpos75","STM0149"
"151","chr1",175153,176080,"p5","gpos25","aroP"
"152","chr1",176227,178903,"p1","gpos25","pdhR"
"153","chr1",178904,180807,"p4","gpos75","aceE"
"154","chr1",180898,182431,"p1","gpos50","aceF"
"155","chr1",182714,183004,"p4","gpos50","lpdA"
"156","chr1",183042,183840,"p8","gpos75","STM0155"
"157","chr1",183846,185488,"p3","gpos75","STM0156"
"158","chr1",185843,188454,"p4","gpos50","yacH"
"159","chr1",188515,189363,"p9","gpos75","acnB"
"160","chr1",189591,189965,"p1","gpos25","STM0159"
"161","chr1",190186,191144,"p7","gpos100","yacL"
"162","chr1",191145,192402,"p9","gpos75","kdgT"
"163","chr1",192403,193394,"p3","gpos25","STM0162"
"164","chr1",193399,194171,"p3","gpos25","STM0163"
"165","chr1",194201,195011,"p1","gpos75","STM0164"
"166","chr1",195016,195889,"p3","gpos75","speD"
"167","chr1",195983,196342,"p7","gpos25","speE"
"168","chr1",196520,198142,"p7","gpos50","yacC"
"169","chr1",198220,200623,"p3","gpos100","cueO"
"170","chr1",200804,201352,"p1","gpos25","gcd"
"171","chr1",201410,202088,"p4","gpos50","hpt"
"172","chr1",202173,203090,"p6","gpos25","yadF"
"173","chr1",203091,203874,"p7","gpos50","yadG"
"174","chr1",203991,205077,"p9","gpos25","yadH"
"175","chr1",205079,207631,"p7","gpos100","stiH"
"176","chr1",207652,208341,"p4","gpos25","stiC"
"177","chr1",208383,208928,"p1","gpos50","stiB"
"178","chr1",209282,209733,"p9","gpos25","stiA"
"179","chr1",209795,211024,"p6","gpos100","yadI"
"180","chr1",211031,211426,"p3","gpos100","yadE"
"181","chr1",211506,212373,"p4","gpos25","panD"
"182","chr1",212486,213288,"p7","gpos75","panC"
"183","chr1",213398,213873,"p7","gpos50","panB"
"184","chr1",213874,215292,"p8","gpos100","folK"
"185","chr1",215433,216374,"p1","gpos75","pcnB"
"186","chr1",216398,216866,"p1","gpos25","yadB"
"187","chr1",217030,217745,"p3","gpos50","dksA"
"188","chr1",217751,218281,"p4","gpos50","sfsA"
"189","chr1",218296,220783,"p2","gpos75","ligT"
"190","chr1",220911,223446,"p4","gpos100","hrpB"
"191","chr1",223726,225928,"p4","gpos100","mrcB"
"192","chr1",225977,226774,"p1","gpos75","fhuA"
"193","chr1",226774,227650,"p2","gpos100","fhuC"
"194","chr1",227651,229718,"p1","gpos25","fhuD"
"195","chr1",230647,231218,"p4","gpos25","fhuB"
"196","chr1",231287,233961,"p2","gpos100","stfA"
"197","chr1",233964,234731,"p10","gpos75","stfC"
"198","chr1",234737,235244,"p5","gpos100","stfD"
"199","chr1",235245,235717,"p3","gpos25","stfE"
"200","chr1",235718,236265,"p8","gpos100","stfF"
"201","chr1",236265,237104,"p3","gpos25","stfG"
"202","chr1",237212,238505,"p8","gpos100","STM0201"
"203","chr1",238662,240083,"p8","gpos25","hemL"
"204","chr1",240120,240509,"p3","gpos100","yadQ"
"205","chr1",240610,241247,"p4","gpos100","yadR"
"206","chr1",241270,242062,"p4","gpos25","yadS"
"207","chr1",242063,242761,"p10","gpos25","btuF"
"208","chr1",242840,244363,"p9","gpos25","pfs"
"209","chr1",244493,245920,"p10","gpos50","dgt"
"210","chr1",246061,247230,"p2","gpos100","htrA"
"211","chr1",247319,247717,"p5","gpos50","cdaR"
"212","chr1",247943,249253,"p1","gpos50","yaeH"
"213","chr1",249290,250114,"p6","gpos25","STM0212"
"214","chr1",250144,252825,"p10","gpos25","dapD"
"215","chr1",253053,253860,"p9","gpos50","glnD"
"216","chr1",254285,255023,"p7","gpos50","map"
"217","chr1",255269,256132,"p3","gpos25","rpsB"
"218","chr1",256265,257002,"p10","gpos25","tsf"
"219","chr1",257136,257706,"p3","gpos75","pyrH"
"220","chr1",257836,259043,"p8","gpos25","frr"
"221","chr1",259337,260114,"p3","gpos50","dxr"
"222","chr1",260114,260984,"p3","gpos25","uppS"
"223","chr1",260988,262348,"p5","gpos100","cdsA"
"224","chr1",262380,264794,"p8","gpos75","yaeL"
"225","chr1",264905,265390,"p9","gpos50","yaeT"
"226","chr1",265391,266431,"p4","gpos50","hlpA"
"227","chr1",266524,266983,"p3","gpos25","lpxD"
"228","chr1",266984,267767,"p6","gpos50","fabZ"
"229","chr1",267768,268914,"p5","gpos100","lpxA"
"230","chr1",268915,269525,"p1","gpos50","lpxB"
"231","chr1",269536,272937,"p9","gpos25","rnhB"
"232","chr1",272938,274003,"p5","gpos50","dnaE"
"233","chr1",274177,275947,"p10","gpos50","accA"
"234","chr1",276012,278164,"p6","gpos100","STM0233"
"235","chr1",278209,278609,"p1","gpos75","ldcC"
"236","chr1",278665,279964,"p2","gpos25","yaeR"
"237","chr1",280048,280294,"p7","gpos50","mesJ"
"238","chr1",280295,280517,"p6","gpos100","rof"
"239","chr1",280680,281219,"p9","gpos100","yaeP"
"240","chr1",281220,281657,"p3","gpos100","yaeQ"
"241","chr1",282468,284202,"p6","gpos25","yaeJ"
"242","chr1",284297,285000,"p10","gpos100","proS"
"243","chr1",285001,285416,"p4","gpos25","yaeB"
"244","chr1",285524,286351,"p8","gpos25","rcsF"
"245","chr1",286378,287023,"p4","gpos75","yaeC"
"246","chr1",287024,288063,"p2","gpos100","yaeE"
"247","chr1",288230,288811,"p2","gpos100","abc"
"248","chr1",289190,290733,"p10","gpos75","yaeD"
"249","chr1",290801,290874,"p9","gpos50","rrsH"
"250","chr1",290987,291059,"p9","gpos75","ileV"
"251","chr1",291245,294337,"p8","gpos75","alaV"
"252","chr1",294520,294641,"p8","gpos100","rrlH"
"253","chr1",294839,294912,"p2","gpos75","rrfH"
"254","chr1",295060,295873,"p2","gpos50","aspU"
"255","chr1",295894,296819,"p3","gpos25","yafB"
"256","chr1",296901,298088,"p2","gpos75","yafC"
"257","chr1",298241,299020,"p4","gpos50","STM0257"
"258","chr1",299083,299868,"p4","gpos75","yafD"
"259","chr1",299924,301291,"p8","gpos50","yafE"
"260","chr1",301363,302128,"p1","gpos25","dniR"
"261","chr1",302140,302871,"p9","gpos100","gloB"
"262","chr1",302872,303356,"p4","gpos75","yafS"
"263","chr1",303403,304134,"p10","gpos25","rnhA"
"264","chr1",304278,304351,"p3","gpos50","dnaQ"
"265","chr1",304666,305721,"p5","gpos75","aspV"
"266","chr1",305732,306723,"p1","gpos25","STM0266"
"267","chr1",306724,308613,"p8","gpos50","STM0267"
"268","chr1",308623,309113,"p5","gpos50","STM0268"
"269","chr1",309114,309924,"p6","gpos50","STM0269"
"270","chr1",309925,310832,"p3","gpos100","STM0270"
"271","chr1",311190,313834,"p5","gpos100","STM0271"
"272","chr1",313927,314476,"p7","gpos50","STM0272"
"273","chr1",314493,316008,"p8","gpos75","STM0273"
"274","chr1",316071,316181,"p6","gpos100","STM0274"
"275","chr1",316308,316640,"p4","gpos100","STM0274A"
"276","chr1",316888,317379,"p1","gpos100","STM0275"
"277","chr1",317678,318149,"p7","gpos50","STM0276"
"278","chr1",318150,318537,"p8","gpos100","STM0277"
"279","chr1",318674,319165,"p3","gpos75","STM0278"
"280","chr1",319225,319768,"p7","gpos25","STM0279"
"281","chr1",319768,321105,"p3","gpos100","STM0280"
"282","chr1",321106,322413,"p1","gpos100","STM0281"
"283","chr1",322414,323194,"p9","gpos75","STM0282"
"284","chr1",323391,323828,"p2","gpos75","STM0283"
"285","chr1",323857,327725,"p2","gpos75","STM0284"
"286","chr1",327726,328509,"p9","gpos75","STM0285"
"287","chr1",328510,328932,"p7","gpos25","STM0286"
"288","chr1",328950,329477,"p1","gpos50","STM0287"
"289","chr1",329867,332063,"p5","gpos25","STM0288"
"290","chr1",332080,332533,"p8","gpos50","STM0289"
"291","chr1",332541,336646,"p6","gpos75","STM0290"
"292","chr1",337088,337824,"p9","gpos75","STM0291"
"293","chr1",337825,338276,"p2","gpos100","STM0292"
"294","chr1",338835,339276,"p2","gpos75","STM0293"
"295","chr1",340039,340353,"p1","gpos50","STM0294"
"296","chr1",340455,340703,"p3","gpos50","STM0295"
"297","chr1",342207,342722,"p2","gpos75","STM0296"
"298","chr1",342830,343543,"p3","gpos25","safA"
"299","chr1",343560,346077,"p1","gpos50","safB"
"300","chr1",346092,346569,"p7","gpos75","safC"
"301","chr1",346968,347796,"p6","gpos50","safD"
"302","chr1",348606,349558,"p10","gpos50","ybeJ"
"303","chr1",349672,349890,"p5","gpos50","sinR"
"304","chr1",349894,350619,"p1","gpos100","STM0305"
"305","chr1",350944,351358,"p1","gpos25","STM0306"
"306","chr1",351722,352503,"p10","gpos25","STM0307"
"307","chr1",352598,355058,"p1","gpos100","yafV"
"308","chr1",355270,355860,"p6","gpos75","yafH"
"309","chr1",356063,356810,"p1","gpos50","ghmA"
"310","chr1",356811,357565,"p2","gpos50","yafJ"
"311","chr1",357788,358856,"p7","gpos100","yafK"
"312","chr1",360188,360818,"p9","gpos100","dinP"
"313","chr1",360974,362444,"p4","gpos50","prfH"
"314","chr1",362662,363138,"p9","gpos75","pepD"
"315","chr1",363212,364471,"p2","gpos75","gpt"
"316","chr1",364517,364930,"p7","gpos100","yafA"
"317","chr1",364981,366179,"p2","gpos50","crl"
"318","chr1",366309,367417,"p3","gpos25","phoE"
"319","chr1",367418,368681,"p7","gpos50","proB"
"320","chr1",368807,368879,"p9","gpos100","proA"
"321","chr1",369153,369197,"p7","gpos75","thrW"
"322","chr1",369198,369998,"p7","gpos50","STM0324"
"323","chr1",370726,371063,"p7","gpos75","STM0325"
"324","chr1",371397,372642,"p2","gpos75","STM0327"
"325","chr1",372766,374189,"p9","gpos50","STM0328"
"326","chr1",374190,374823,"p9","gpos50","STM0329"
"327","chr1",374831,375711,"p3","gpos50","STM0330"
"328","chr1",375712,376630,"p4","gpos75","STM0331"
"329","chr1",376656,377573,"p9","gpos100","STM0332"
"330","chr1",377574,377854,"p5","gpos25","STM0333"
"331","chr1",378531,378935,"p1","gpos25","STM0334"
"332","chr1",378982,379705,"p2","gpos100","STM0335"
"333","chr1",379706,381035,"p5","gpos25","stbE"
"334","chr1",381036,383580,"p2","gpos100","stbD"
"335","chr1",383581,384357,"p7","gpos50","stbC"
"336","chr1",384404,384948,"p3","gpos100","stbB"
"337","chr1",385574,386305,"p10","gpos50","stbA"
"338","chr1",386306,386610,"p7","gpos100","STM0341"
"339","chr1",387105,388684,"p10","gpos75","STM0342"
"340","chr1",388778,389493,"p7","gpos75","STM0343"
"341","chr1",389494,389988,"p6","gpos100","STM0344"
"342","chr1",390383,390913,"p5","gpos100","STM0345"
"343","chr1",391057,391698,"p2","gpos100","STM0346"
"344","chr1",391703,391933,"p10","gpos25","STM0347"
"345","chr1",391984,392350,"p8","gpos75","STM0348"
"346","chr1",392420,393893,"p2","gpos25","STM0349"
"347","chr1",393894,397057,"p3","gpos50","STM0350"
"348","chr1",397058,398290,"p7","gpos50","STM0351"
"349","chr1",398554,400849,"p8","gpos25","STM0352"
"350","chr1",400853,401325,"p9","gpos25","STM0353"
"351","chr1",401396,401597,"p8","gpos50","STM0354"
"352","chr1",401883,403143,"p1","gpos100","STM0355"
"353","chr1",403326,405290,"p4","gpos50","STM0356"
"354","chr1",405293,408272,"p7","gpos100","mod"
"355","chr1",408544,408650,"p3","gpos100","res"
"356","chr1",408761,410158,"p5","gpos50","STM0359"
"357","chr1",410159,411177,"p5","gpos50","STM0360"
"358","chr1",411177,411308,"p6","gpos50","STM0361"
"359","chr1",411510,412518,"p8","gpos50","STM0362"
"360","chr1",412664,414772,"p4","gpos100","STM0363"
"361","chr1",414813,415461,"p2","gpos75","foxA"
"362","chr1",415665,415952,"p4","gpos25","yahN"
"363","chr1",416088,417730,"p6","gpos100","yahO"
"364","chr1",417967,418865,"p6","gpos75","prpR"
"365","chr1",418979,420157,"p8","gpos25","prpB"
"366","chr1",420182,421648,"p6","gpos75","prpC"
"367","chr1",421677,423575,"p2","gpos100","prpD"
"368","chr1",423679,424663,"p10","gpos100","prpE"
"369","chr1",425151,428102,"p4","gpos100","hemB"
"370","chr1",428177,428811,"p1","gpos25","yaiU"
"371","chr1",428856,429986,"p10","gpos75","yaiV"
"372","chr1",430348,431580,"p2","gpos50","ampH"
"373","chr1",431584,432689,"p1","gpos100","sbmA"
"374","chr1",432727,433047,"p2","gpos50","yaiW"
"375","chr1",433292,433518,"p1","gpos25","yaiY"
"376","chr1",433544,434656,"p8","gpos75","yaiZ"
"377","chr1",434712,435429,"p6","gpos75","ddlA"
"378","chr1",435598,436809,"p7","gpos25","STM0381"
"379","chr1",437092,437366,"p4","gpos100","STM0382"
"380","chr1",437706,438038,"p9","gpos50","yaiB"
"381","chr1",438111,439242,"p10","gpos25","psiF"
"382","chr1",439257,440080,"p10","gpos75","yaiC"
"383","chr1",440194,440661,"p3","gpos100","proC"
"384","chr1",440687,441391,"p6","gpos100","yaiI"
"385","chr1",441407,441609,"p9","gpos25","aroL"
"386","chr1",441846,442537,"p10","gpos75","yaiA"
"387","chr1",442595,442892,"p4","gpos25","aroM"
"388","chr1",442930,443853,"p9","gpos50","yaiE"
"389","chr1",443955,444875,"p9","gpos25","rdgC"
"390","chr1",444897,446125,"p1","gpos25","yajF"
"391","chr1",446242,449378,"p6","gpos75","araJ"
"392","chr1",449379,450592,"p10","gpos50","sbcC"
"393","chr1",450723,451485,"p3","gpos50","sbcD"
"394","chr1",451540,452850,"p10","gpos25","phoB"
"395","chr1",453243,454578,"p8","gpos25","phoR"
"396","chr1",454644,456023,"p6","gpos25","brnQ"
"397","chr1",456172,458002,"p3","gpos50","proY"
"398","chr1",458074,458684,"p5","gpos50","malZ"
"399","chr1",458886,459478,"p10","gpos50","STM0402"
"400","chr1",459561,460625,"p10","gpos100","yajB"
"401","chr1",460811,461949,"p3","gpos100","queA"
"402","chr1",461960,462304,"p7","gpos25","tgt"
"403","chr1",462320,464177,"p7","gpos25","yajC"
"404","chr1",464178,465161,"p10","gpos100","secD"
"405","chr1",465301,465674,"p7","gpos75","secF"
"406","chr1",465700,466392,"p2","gpos100","STM0409"
"407","chr1",466546,466909,"p7","gpos100","STM0410"
"408","chr1",467157,467483,"p1","gpos100","yajD"
"409","chr1",467538,468539,"p8","gpos75","STM0412"
"410","chr1",468701,469255,"p5","gpos75","tsx"
"411","chr1",469381,469832,"p6","gpos100","yajI"
"412","chr1",469833,470948,"p10","gpos100","ybaD"
"413","chr1",471023,471507,"p1","gpos75","ribD"
"414","chr1",471516,471947,"p6","gpos75","ribH"
"415","chr1",472014,472969,"p7","gpos75","nusB"
"416","chr1",472970,473496,"p5","gpos50","thiL"
"417","chr1",473600,474587,"p8","gpos75","pgpA"
"418","chr1",474631,476493,"p7","gpos100","yajO"
"419","chr1",476517,477416,"p3","gpos25","dxs"
"420","chr1",477417,477679,"p6","gpos100","ispA"
"421","chr1",477869,479317,"p3","gpos25","xseB"
"422","chr1",479361,480160,"p7","gpos100","thiI"
"423","chr1",480161,481023,"p7","gpos100","phnV"
"424","chr1",481024,482133,"p3","gpos100","phnU"
"425","chr1",482139,483157,"p6","gpos75","phnT"
"426","chr1",483350,484085,"p3","gpos25","phnS"
"427","chr1",484203,485312,"p10","gpos25","phnR"
"428","chr1",485312,486131,"p6","gpos50","phnW"
"429","chr1",486228,486780,"p9","gpos50","phnX"
"430","chr1",486781,487703,"p1","gpos50","thiJ"
"431","chr1",487800,488309,"p4","gpos75","apbA"
"432","chr1",488356,489705,"p8","gpos25","yajQ"
"433","chr1",489948,490109,"p8","gpos50","yajR"
"434","chr1",490250,491768,"p6","gpos25","STM0436A"
"435","chr1",491986,493273,"p2","gpos75","STM0437"
"436","chr1",493355,494254,"p7","gpos100","STM0438"
"437","chr1",494257,494585,"p4","gpos25","cyoE"
"438","chr1",494586,495189,"p8","gpos25","cyoD"
"439","chr1",495190,497191,"p1","gpos25","cyoC"
"440","chr1",497192,498229,"p7","gpos100","cyoB"
"441","chr1",498601,500094,"p2","gpos50","cyoA"
"442","chr1",500120,500760,"p1","gpos25","ampG"
"443","chr1",500990,501319,"p2","gpos25","yajG"
"444","chr1",501655,502964,"p4","gpos75","bolA"
"445","chr1",503199,503834,"p10","gpos75","tig"
"446","chr1",504073,505357,"p2","gpos25","clpP"
"447","chr1",505532,507897,"p1","gpos25","clpX"
"448","chr1",508058,508378,"p9","gpos75","lon"
"449","chr1",508651,510540,"p4","gpos25","hupB"
"450","chr1",510676,511064,"p9","gpos25","cypD"
"451","chr1",511154,511566,"p2","gpos50","ybaV"
"452","chr1",511672,512377,"p10","gpos100","ybaW"
"453","chr1",512432,514142,"p1","gpos75","ybaX"
"454","chr1",514221,515051,"p8","gpos100","ybaE"
"455","chr1",515101,516161,"p2","gpos100","cof"
"456","chr1",516258,516727,"p1","gpos100","STM0458"
"457","chr1",516755,518519,"p2","gpos50","ybaO"
"458","chr1",518520,520314,"p3","gpos75","mdlA"
"459","chr1",520515,520865,"p7","gpos50","mdlB"
"460","chr1",520883,522183,"p10","gpos100","glnK"
"461","chr1",522283,523156,"p4","gpos75","amtB"
"462","chr1",523346,523927,"p2","gpos25","tesB"
"463","chr1",523960,524359,"p9","gpos25","ybaY"
"464","chr1",524427,524542,"p7","gpos100","ybaZ"
"465","chr1",524580,526142,"p3","gpos100","ffs"
"466","chr1",526346,526615,"p4","gpos25","ylaB"
"467","chr1",526616,526761,"p9","gpos100","rpmE2"
"468","chr1",526817,527297,"p5","gpos75","rpmJ2"
"469","chr1",527404,527969,"p8","gpos75","ylaC"
"470","chr1",528134,528364,"p10","gpos25","maa"
"471","chr1",528380,528767,"p2","gpos100","hha"
"472","chr1",529250,532415,"p9","gpos100","ybaJ"
"473","chr1",532422,533626,"p9","gpos50","acrB"
"474","chr1",533757,534410,"p9","gpos25","acrA"
"475","chr1",534529,537891,"p1","gpos25","acrR"
"476","chr1",537933,538874,"p10","gpos75","aefA"
"477","chr1",538938,539116,"p10","gpos100","STM0479"
"478","chr1",539119,539634,"p3","gpos50","ybaM"
"479","chr1",539715,540092,"p4","gpos75","priC"
"480","chr1",540232,540796,"p9","gpos75","ybaN"
"481","chr1",540910,542838,"p8","gpos75","apt"
"482","chr1",542874,543198,"p9","gpos75","dnaX"
"483","chr1",543199,543818,"p10","gpos25","ybaB"
"484","chr1",543905,545803,"p9","gpos25","recR"
"485","chr1",546029,546688,"p6","gpos75","htpG"
"486","chr1",546908,547875,"p4","gpos75","adk"
"487","chr1",547876,548859,"p4","gpos50","hemH"
"488","chr1",549000,550304,"p5","gpos100","aes"
"489","chr1",550353,552040,"p10","gpos50","gsk"
"490","chr1",552244,553464,"p4","gpos25","ybaL"
"491","chr1",553624,555289,"p3","gpos75","fsr"
"492","chr1",555406,555895,"p9","gpos50","ushA"
"493","chr1",556087,556893,"p8","gpos75","ybaK"
"494","chr1",556967,557800,"p8","gpos75","ybaP"
"495","chr1",557948,560463,"p8","gpos75","STM0497"
"496","chr1",560548,560975,"p8","gpos25","copA"
"497","chr1",560976,561424,"p3","gpos100","cueR"
"498","chr1",561425,562356,"p8","gpos25","ybbJ"
"499","chr1",562474,563139,"p5","gpos100","ybbK"
"500","chr1",563140,563932,"p6","gpos75","ybbL"
"501","chr1",564018,564872,"p5","gpos100","ybbM"
"502","chr1",564932,565713,"p7","gpos100","ybbN"
"503","chr1",565857,566429,"p1","gpos100","ybbO"
"504","chr1",566430,567113,"p5","gpos75","tesA"
"505","chr1",567114,569539,"p5","gpos25","ybbA"
"506","chr1",569718,570858,"p6","gpos50","ybbP"
"507","chr1",571109,571945,"p10","gpos25","STM0509"
"508","chr1",571975,572983,"p10","gpos25","sfbA"
