"","Chromosome","ChromStart","ChromEnd","Gene_ID","Count"
"58","chr1",2092798,2092953,"amn",15
"59","chr1",169903,170768,"ampD",2
"60","chr1",170860,171809,"ampE",8
"61","chr1",500120,500760,"ampG",16
"62","chr1",430348,431580,"ampH",12
"63","chr1",522283,523156,"amtB",15
"64","chr1",2053188,2053624,"amyA",20
"65","chr1",1372901,1374769,"ansA",7
"66","chr1",3266723,3267453,"ansB",9
"67","chr1",1672213,1672441,"ansP",9
"68","chr1",102663,103480,"apaG",4
"69","chr1",102283,102662,"apaH",7
"70","chr1",487800,488309,"apbA",4
"71","chr1",2365442,2366750,"apbE",16
"72","chr1",629328,632062,"apeE",35
"73","chr1",4471529,4471946,"aphA",2
"74","chr1",540910,542838,"apt",5
"75","chr1",119590,121412,"araA",15
"76","chr1",121528,122485,"araB",24
"77","chr1",122593,123371,"araC",14
"78","chr1",118077,119589,"araD",14
"79","chr1",3177580,3178352,"araE",9
"80","chr1",2027217,2027740,"araH",6
"81","chr1",446242,449378,"araJ",17
"82","chr1",4856190,4856340,"arcA",3
"83","chr1",3492929,3493876,"arcB",23
"84","chr1",596055,597118,"arcC",17
"85","chr1",3144282,3146113,"argA",12
"86","chr1",4341419,4342808,"argB",5
"87","chr1",4340529,4341314,"argC",5
"88","chr1",3619767,3620341,"argD",13
"89","chr1",4339438,4340528,"argE",4
"90","chr1",3460359,3461430,"argG",12
"91","chr1",4343021,4343992,"argH",15
"92","chr1",4712923,4713351,"argI",5
"93","chr1",3528858,3529133,"argR",3
"94","chr1",2004509,2006387,"argS",14
"95","chr1",2466581,2467163,"argT",8
"96","chr1",1064050,1064802,"aroA",18
"97","chr1",3642235,3642756,"aroB",8
"98","chr1",2495661,2496602,"aroC",10
"99","chr1",1440411,1441289,"aroD",5
"100","chr1",3574096,3574672,"aroE",11
"101","chr1",2812974,2813484,"aroF",7
"102","chr1",824921,825473,"aroG",8
"103","chr1",1426591,1427437,"aroH",17
"104","chr1",441407,441609,"aroL",4
"105","chr1",442595,442892,"aroM",4
"106","chr1",175153,176080,"aroP",10
"107","chr1",961046,961774,"artI",5
"108","chr1",958906,959573,"artJ",4
"109","chr1",959574,960296,"artM",13
"110","chr1",962004,962531,"artP",4
"111","chr1",960297,961028,"artQ",3
"112","chr1",3709870,3710169,"asd",4
"113","chr1",2206884,2207479,"asmA",22
"114","chr1",4086318,4087760,"asnA",12
"115","chr1",740896,741659,"asnB",23
"116","chr1",4085215,4086313,"asnC",3
"117","chr1",1093083,1093550,"asnS",11
"118","chr1",4572699,4573214,"aspA",10
"119","chr1",1089784,1090975,"aspC",6
"120","chr1",1997189,1997747,"aspS",14
"121","chr1",295060,295873,"aspU",1
"122","chr1",2687483,2688309,"asrA",8
"123","chr1",2688313,2689333,"asrB",11
"124","chr1",2689334,2690310,"asrC",9
"125","chr1",1384419,1385899,"astA",13
"126","chr1",1387231,1388212,"astB",11
"127","chr1",1383392,1384418,"astC",21
"128","chr1",1385900,1387230,"astD",20
"129","chr1",1388532,1389033,"astE",14
"130","chr1",4078001,4078548,"atpA",14
"131","chr1",4080189,4080689,"atpB",2
"132","chr1",4074124,4075517,"atpC",1
"133","chr1",4075533,4076408,"atpD",5
"134","chr1",4079079,4079330,"atpF",2
"135","chr1",4078549,4079032,"atpH",1
"136","chr1",3010974,3011735,"avrA",5
"137","chr1",3854031,3854517,"avtA",11
"138","chr1",2281379,2282611,"b2145",1
"139","chr1",3371493,3371861,"bacA",4
"140","chr1",2225838,2226720,"baeR",7
"141","chr1",2224528,2225257,"baeS",15
"142","chr1",3109326,3110474,"barA",28
"143","chr1",4534400,4536057,"basR",5
"144","chr1",4533735,4534399,"basS",7
"145","chr1",3850510,3852570,"bax",1
"146","chr1",25105,25798,"bcfA",5
"147","chr1",25803,28409,"bcfB",4
"148","chr1",28410,29417,"bcfC",32
"149","chr1",29418,29976,"bcfD",12
"150","chr1",29977,30465,"bcfE",4
"151","chr1",30466,31209,"bcfF",9
"152","chr1",31270,32119,"bcfG",11
"153","chr1",32545,33000,"bcfH",11
"154","chr1",2606155,2606508,"bcp",1
"155","chr1",2323700,2324412,"bcr",9
"156","chr1",3798543,3800843,"bcsC",6
"157","chr1",3598309,3599500,"bfd",1
"158","chr1",3597930,3598136,"bfr",6
"159","chr1",3210794,3211694,"bglA",13
"160","chr1",4807546,4808012,"bglJ",7
"161","chr1",2263723,2265465,"bglX",24
"162","chr1",3635168,3635632,"bigA",48
"163","chr1",860127,861198,"bioA",9
"164","chr1",861199,862337,"bioB",10
"165","chr1",863083,863785,"bioC",9
"166","chr1",864348,866457,"bioD",7
"167","chr1",862338,863082,"bioF",11
"168","chr1",3668695,3669390,"bioH",10
"169","chr1",4358707,4359670,"birA",14
"170","chr1",3832807,3833480,"bisC",23
"171","chr1",4582495,4582864,"blc",4
"172","chr1",501655,502964,"bolA",3
"173","chr1",454644,456023,"brnQ",13
"174","chr1",4349912,4350763,"btuB",8
"175","chr1",1420622,1421185,"btuC",8
"176","chr1",1421996,1422475,"btuD",9
"177","chr1",1421185,1421934,"btuE",2
"178","chr1",242063,242761,"btuF",6
"179","chr1",1815798,1816684,"btuR",7
"180","chr1",2702140,2703611,"cadA",9
"181","chr1",2699938,2702095,"cadB",2
"182","chr1",2698371,2699868,"cadC",19
"183","chr1",3541313,3541915,"cafA",13
"184","chr1",86686,88216,"caiA",10
"185","chr1",85509,86662,"caiB",9
"186","chr1",84180,85410,"caiC",16
"187","chr1",82564,84131,"caiD",8
"188","chr1",81725,82523,"caiE",10
"189","chr1",81020,81627,"caiF",3
"190","chr1",88547,89454,"caiT",8
"191","chr1",77030,80274,"carA",27
"192","chr1",80459,80943,"carB",59
"193","chr1",2114396,2115320,"cbiA",13
"194","chr1",2111463,2112418,"cbiC",2
"195","chr1",2110820,2111459,"cbiD",4
"196","chr1",2109681,2110819,"cbiE",9
"197","chr1",2108514,2109081,"cbiF",10
"198","chr1",2107757,2108513,"cbiG",6
"199","chr1",2106721,2107756,"cbiH",2
"200","chr1",2105996,2106720,"cbiJ",9
"201","chr1",2105208,2105995,"cbiK",4
"202","chr1",2104411,2105207,"cbiL",2
"203","chr1",2103701,2104410,"cbiM",4
"204","chr1",2102020,2102683,"cbiO",12
"205","chr1",2101196,2102017,"cbiP",14
"206","chr1",2109082,2109680,"cbiT",6
"207","chr1",2102684,2102966,"cboQ",6
"208","chr1",1200137,1200504,"cbpA",4
"209","chr1",3370574,3371408,"cca",13
"210","chr1",2353682,2354293,"ccmA",2
"211","chr1",4018608,4020020,"ccmA",2
"212","chr1",2348432,2348985,"ccmH",5
"213","chr1",4013373,4013926,"ccmH",5
"214","chr1",247319,247717,"cdaR",15
"215","chr1",2280206,2280920,"cdd",2
"216","chr1",260988,262348,"cdsA",4
"217","chr1",1400066,1401470,"cedA",1
"218","chr1",1392187,1393559,"celA",2
"219","chr1",1393599,1393957,"celB",12
"220","chr1",1393958,1394810,"celC",1
"221","chr1",1394923,1396290,"celD",4
"222","chr1",1396293,1397061,"celF",5
"223","chr1",1397105,1399372,"celG",4
"224","chr1",1505664,1506880,"cfa",7
"225","chr1",1870401,1871266,"chaA",4
"226","chr1",1869234,1870347,"chaB",1
"227","chr1",2019195,2020120,"cheA",11
"228","chr1",2013733,2014607,"cheB",4
"229","chr1",2016651,2017165,"cheM",24
"230","chr1",2014753,2016428,"cheR",4
"231","chr1",2017175,2019194,"cheW",1
"232","chr1",2012280,2012684,"cheZ",3
"233","chr1",2112419,2113805,"cibB",2
"234","chr1",3961554,3964284,"cigR",2
"235","chr1",2298887,2300373,"cirA",13
"236","chr1",752729,753854,"citA",14
"237","chr1",753855,755263,"citB",12
"238","chr1",688019,689646,"citC",11
"239","chr1",69703,69993,"citC2",13
"240","chr1",686569,687661,"citD",1
"241","chr1",69994,70869,"citD2",6
"242","chr1",686276,686568,"citE",8
"243","chr1",70873,72393,"citE2",12
"244","chr1",685371,686275,"citF",23
"245","chr1",72394,72922,"citF2",28
"246","chr1",683277,683831,"citG",8
"247","chr1",74007,74838,"citG2",4
"248","chr1",682409,683276,"citT",17
"249","chr1",683832,685370,"citX",8
"250","chr1",72923,73837,"citX2",4
"251","chr1",1025163,1025627,"clpA",15
"252","chr1",2804822,2805549,"clpB",31
"253","chr1",505532,507897,"clpX",11
"254","chr1",1834344,1834685,"cls",11
"255","chr1",1065699,1067467,"cmk",5
"256","chr1",4359866,4360039,"coaA",3
"257","chr1",1307668,1308727,"cobB",8
"258","chr1",705773,706848,"cobC",5
"259","chr1",706849,707491,"cobD",10
"260","chr1",2099137,2099678,"cobS",9
"261","chr1",2098397,2099136,"cobT",11
"262","chr1",2099679,2101195,"cobU",2
"263","chr1",515101,516161,"cof",2
"264","chr1",560548,560975,"copA",24
"265","chr1",1184429,1184851,"copR",10
"266","chr1",1183625,1184377,"copS",20
"267","chr1",4159187,4159578,"corA",16
"268","chr1",2819588,2820829,"corE",7
"269","chr1",4641776,4642515,"cpdB",17
"270","chr1",2188498,2189936,"cpsG",27
"271","chr1",4269759,4270471,"cpxA",10
"272","chr1",4271244,4272158,"cpxP",1
"273","chr1",4270595,4271108,"cpxR",4
"274","chr1",693642,694447,"crcB",5
"275","chr1",4844239,4844927,"creA",4
"276","chr1",4844928,4846364,"creB",7
"277","chr1",4846410,4847771,"creC",23
"278","chr1",4847829,4848922,"creD",14
"279","chr1",364981,366179,"crl",3
"280","chr1",3616334,3618421,"crp",1
"281","chr1",2547317,2547552,"crr",1
"282","chr1",3137147,3137610,"csdA",7
"283","chr1",1232127,1232462,"csgA",5
"284","chr1",1231605,1232074,"csgB",2
"285","chr1",1231000,1231577,"csgD",5
"286","chr1",1229317,1229716,"csgF",1
"287","chr1",1228874,1229302,"csgG",4
"288","chr1",2692347,2693495,"csiE",5
"289","chr1",3836830,3837376,"cspA",2
"290","chr1",2079889,2081159,"cspB",2
"291","chr1",693185,693580,"cspE",1
"292","chr1",663439,663643,"cstA",24
"293","chr1",198220,200623,"cueO",13
"294","chr1",560976,561424,"cueR",1
"295","chr1",4569545,4570859,"cutA",1
"296","chr1",2001788,2002374,"cutC",9
"297","chr1",4149026,4149387,"cyaA",18
"298","chr1",4150950,4151345,"cyaY",10
"299","chr1",1730464,1731275,"cybB",10
"300","chr1",4683959,4684297,"cybC",1
"301","chr1",4636384,4637058,"cycA",12
"302","chr1",811103,812255,"cydA",10
"303","chr1",812263,812383,"cydB",6
"304","chr1",1033351,1035117,"cydC",24
"305","chr1",1035231,1036210,"cydD",19
"306","chr1",498601,500094,"cyoA",3
"307","chr1",497192,498229,"cyoB",13
"308","chr1",495190,497191,"cyoC",3
"309","chr1",494586,495189,"cyoD",1
"310","chr1",494257,494585,"cyoE",5
"311","chr1",510676,511064,"cypD",20
"312","chr1",2553716,2554590,"cysA",10
"313","chr1",1809786,1812392,"cysB",11
"314","chr1",3072949,3074397,"cysC",10
"315","chr1",3075546,3076603,"cysD",5
"316","chr1",3895029,3896047,"cysE",3
"317","chr1",3629155,3635036,"cysG",12
"318","chr1",3089006,3090717,"cysH",16
"319","chr1",3090718,3092582,"cysI",21
"320","chr1",3092941,3093303,"cysJ",32
"321","chr1",2544492,2544842,"cysK",14
"322","chr1",2552629,2553715,"cysM",7
"323","chr1",3074398,3075386,"cysN",27
"324","chr1",2556598,2557404,"cysP",19
"325","chr1",4642516,4643084,"cysQ",8
"326","chr1",600567,601387,"cysS",10
"327","chr1",2555424,2556546,"cysU",15
"328","chr1",2554591,2555423,"cysW",8
"329","chr1",2543157,2544201,"cysZ",7
"330","chr1",4303374,4305584,"cytR",7
"331","chr1",699755,700910,"dacA",6
"332","chr1",3470226,3471410,"dacB",9
"333","chr1",936747,937515,"dacC",10
"334","chr1",2137318,2138078,"dacD",16
"335","chr1",1904292,1905836,"dadA",14
"336","chr1",1902683,1904086,"dadX",9
"337","chr1",3639715,3641004,"dam",4
"338","chr1",3641090,3642195,"damX",5
"339","chr1",2605000,2605620,"dapA",7
"340","chr1",75088,75435,"dapB",5
"341","chr1",250144,252825,"dapD",6
"342","chr1",2598841,2599048,"dapE",10
"343","chr1",4153080,4153784,"dapF",5
"344","chr1",1750142,1751136,"dbpA",17
"345","chr1",2207556,2208212,"dcd",5
"346","chr1",2075830,2076533,"dcm",14
"347","chr1",833335,834040,"dcoB",2
"348","chr1",831914,833223,"dcoC",1
"349","chr1",1592060,1592249,"dcp",21
"350","chr1",3791726,3793699,"dctA",6
"351","chr1",4570961,4572466,"dcuA",10
"352","chr1",4548610,4548882,"dcuB",9
"353","chr1",692158,692730,"dcuC",14
"354","chr1",4549909,4551550,"dcuR",6
"355","chr1",4551969,4554325,"dcuS",15
"356","chr1",2516004,2517251,"ddg",12
"357","chr1",434712,435429,"ddlA",12
"358","chr1",153375,154345,"ddlB",7
"359","chr1",3448260,3449151,"deaD",15
"360","chr1",2480461,2481272,"dedA",2
"361","chr1",2477353,2478638,"dedD",2
"362","chr1",3516884,3517954,"degQ",12
"363","chr1",3517988,3518719,"degS",5
"364","chr1",4823715,4824949,"deoA",17
"365","chr1",4825146,4825878,"deoB",17
"366","chr1",4822340,4823674,"deoC",5
"367","chr1",4825916,4826484,"deoD",17
"368","chr1",937577,938194,"deoR",7
"369","chr1",3924734,3925189,"dfp",14
"370","chr1",4459198,4459872,"dgkA",1
"371","chr1",244493,245920,"dgt",16
"372","chr1",4461373,4461486,"dinF",20
"373","chr1",889323,890309,"dinG",14
"374","chr1",1248504,1249628,"dinI",4
"375","chr1",360188,360818,"dinP",17
"376","chr1",109331,110002,"djlA",2
"377","chr1",217030,217745,"dksA",1
"378","chr1",2265523,2266483,"dld",12
"379","chr1",4174799,4175638,"dlhH",11
"380","chr1",1047767,1048384,"dmsA",26
"381","chr1",1049598,1050759,"dmsC",6
"382","chr1",4045639,4045838,"dnaA",8
"383","chr1",4468043,4469133,"dnaB",14
"384","chr1",4803550,4804099,"dnaC",7
"385","chr1",272938,274003,"dnaE",31
"386","chr1",3376224,3378255,"dnaG",7
"387","chr1",15007,15961,"dnaJ",5
"388","chr1",13577,14734,"dnaK",12
"389","chr1",4043637,4045114,"dnaN",8
"390","chr1",304278,304351,"dnaQ",6
"391","chr1",4804182,4804645,"dnaT",4
"392","chr1",542874,543198,"dnaX",19
"393","chr1",301363,302128,"dniR",3
"394","chr1",690394,691790,"dpiA",9
"395","chr1",689647,690340,"dpiB",10
"396","chr1",3816597,3817926,"dppA",13
"397","chr1",3814434,3816223,"dppB",4
"398","chr1",3813258,3814290,"dppC",11
"399","chr1",3812346,3813257,"dppD",13
"400","chr1",3811352,3812345,"dppF",11
"401","chr1",898296,899194,"dps",4
"402","chr1",4204848,4205756,"dsbA",3
"403","chr1",1909141,1909488,"dsbB",5
"404","chr1",3204431,3205339,"dsbC",4
"405","chr1",4569077,4569433,"dsbD",17
"406","chr1",670350,671015,"dsbG",13
"407","chr1",4005869,4006395,"dsdA",24
"408","chr1",4003007,4004321,"dsdC",9
"409","chr1",4004322,4005787,"dsdX",11
"410","chr1",3925280,3925893,"dut",3
"411","chr1",259337,260114,"dxr",6
"412","chr1",476517,477416,"dxs",13
"413","chr1",4580488,4580641,"ecnA",3
"414","chr1",4581504,4581833,"ecnR",4
"415","chr1",2360761,2362417,"eco",1
"416","chr1",1977618,1979494,"eda",3
"417","chr1",1979664,1981336,"edd",12
"418","chr1",4285035,4286074,"ego",7
"419","chr1",2419650,2420576,"elaA",2
"420","chr1",2419137,2419610,"elaB",2
"421","chr1",2420636,2421643,"elaC",10
"422","chr1",2962959,2964509,"emrA",4
"423","chr1",2964558,2965933,"emrB",14
"424","chr1",4000812,4001897,"emrD",10
"425","chr1",2961770,2962954,"emrR",NA
"426","chr1",1898781,1899706,"emtA",4
"427","chr1",3256128,3256926,"endA",10
"428","chr1",2653048,2654236,"engA",16
"429","chr1",3098752,3100399,"eno",8
"430","chr1",660668,661095,"entA",15
"431","chr1",659911,660667,"entB",9
"432","chr1",657432,659053,"entC",2
"433","chr1",641561,643981,"entD",16
"434","chr1",659053,659910,"entE",15
"435","chr1",649586,650735,"entF",42
"436","chr1",1330822,1331045,"envE",3
"437","chr1",1329456,1329702,"envF",11
"438","chr1",3561100,3562266,"envR",3
"439","chr1",3659617,3660468,"envZ",12
"440","chr1",3233298,3233728,"epd",14
"441","chr1",2724828,2725518,"era",10
"442","chr1",2097300,2098383,"erfK",1
"443","chr1",2570023,2571264,"eutA",17
"444","chr1",2568623,2570022,"eutB",16
"445","chr1",2567250,2568622,"eutC",17
"446","chr1",2576555,2577354,"eutD",6
"447","chr1",2574811,2575110,"eutE",21
"448","chr1",2572546,2573395,"eutG",21
"449","chr1",2571369,2572545,"eutH",17
"450","chr1",2573396,2574810,"eutJ",5
"451","chr1",2565666,2566334,"eutK",10
"452","chr1",2566335,2567245,"eutL",13
"453","chr1",2575542,2576554,"eutM",6
"454","chr1",2578514,2578865,"eutP",2
"455","chr1",2578022,2578510,"eutQ",8
"456","chr1",2565159,2565666,"eutR",9
"457","chr1",2579330,2579794,"eutS",4
"458","chr1",2577355,2578021,"eutT",13
"459","chr1",3320743,3320892,"exbB",8
"460","chr1",3320016,3320742,"exbD",2
"461","chr1",3124511,3125672,"exo",5
"462","chr1",1971802,1973866,"exoX",7
"463","chr1",1158483,1160243,"fabA",7
"464","chr1",2489927,2491995,"fabB",17
"465","chr1",1279203,1279947,"fabD",5
"466","chr1",1281779,1282599,"fabF",6
"467","chr1",1280087,1280339,"fabG",1
"468","chr1",1278259,1279200,"fabH",5
"469","chr1",1793118,1794098,"fabI",7
"470","chr1",266984,267767,"fabZ",4
"471","chr1",4189323,4191593,"fadA",8
"472","chr1",4191688,4193024,"fadB",25
"473","chr1",1917106,1917700,"fadD",11
"474","chr1",3388361,3389508,"fadH",20
"475","chr1",2503762,2504530,"fadL",14
"476","chr1",1906809,1908366,"fadR",4
"477","chr1",3230698,3231872,"fba",11
"478","chr1",2236257,2237523,"fbaB",18
"479","chr1",4656672,4658065,"fbp",5
"480","chr1",4249120,4250156,"fdhD",6
"481","chr1",4243224,4243855,"fdhE",5
"482","chr1",4527868,4528782,"fdhF",24
"483","chr1",1653807,1654641,"fdnG",25
"484","chr1",1650435,1653489,"fdnH",4
"485","chr1",1649537,1650432,"fdnI",5
"486","chr1",4248002,4248852,"fdoG",33
"487","chr1",4244771,4247833,"fdoH",10
"488","chr1",4243856,4244771,"fdoI",2
"489","chr1",593026,594296,"fdrA",19
"490","chr1",3666464,3666714,"feoB",17
"491","chr1",643995,645219,"fepA",22
"492","chr1",656212,657431,"fepB",11
"493","chr1",651579,652567,"fepC",19
"494","chr1",653675,654930,"fepD",14
"495","chr1",650788,651578,"fepE",14
"496","chr1",652568,653674,"fepG",12
"497","chr1",645242,645453,"fes",16
"498","chr1",2818732,2819523,"ffh",7
"499","chr1",3005849,3006207,"fhlA",17
"500","chr1",225977,226774,"fhuA",19
"501","chr1",230647,231218,"fhuB",42
"502","chr1",226774,227650,"fhuC",11
"503","chr1",227651,229718,"fhuD",13
"504","chr1",1290381,1290741,"fhuE",22
"505","chr1",4809064,4810128,"fhuF",8
"506","chr1",3620954,3621133,"fic",16
"507","chr1",3958210,3959080,"fidL",5
"508","chr1",604747,605284,"fimA",7
"509","chr1",606039,608663,"fimC",9
"510","chr1",608664,609683,"fimD",30
"511","chr1",610259,610904,"fimF",6
"512","chr1",609684,610213,"fimH",18
"513","chr1",605313,606020,"fimI",7
"514","chr1",613570,613595,"fimW",8
"515","chr1",612236,612555,"fimY",15
"516","chr1",611495,612223,"fimZ",2
"517","chr1",89459,90411,"fixA",6
"518","chr1",90450,91727,"fixB",13
"519","chr1",91728,92031,"fixC",18
"520","chr1",92166,93518,"fixX",6
"521","chr1",4634850,4636272,"fklB",7
"522","chr1",3605906,3606134,"fkpA",12
"523","chr1",757812,758122,"fldA",3
"524","chr1",3206014,3206407,"fldB",2
"525","chr1",1258229,1258642,"flgA",5
"526","chr1",1258643,1259061,"flgB",1
"527","chr1",1259061,1259771,"flgC",2
"528","chr1",1259786,1261009,"flgD",2
"529","chr1",1261017,1261785,"flgE",12
"530","chr1",1261788,1262581,"flgF",12
"531","chr1",1262630,1263334,"flgG",6
"532","chr1",1263337,1264428,"flgH",4
"533","chr1",1264429,1265393,"flgI",9
"534","chr1",1265447,1267119,"flgJ",8
"535","chr1",1267119,1268087,"flgK",11
"536","chr1",1268344,1271547,"flgL",7
"537","chr1",1257421,1258094,"flgM",1
"538","chr1",1257036,1257341,"flgN",2
"539","chr1",2010280,2011444,"flhA",23
"540","chr1",2011625,2012279,"flhB",6
"541","chr1",2022735,2022838,"flhD",1
"542","chr1",2008209,2010279,"flhE",6
"543","chr1",2045732,2046196,"fliA",3
"544","chr1",2047655,2049154,"fliB",26
"545","chr1",2049387,2050802,"fliC",3
"546","chr1",2050808,2051209,"fliD",11
"547","chr1",2056526,2058193,"fliE",7
"548","chr1",2058194,2059188,"fliF",16
"549","chr1",2059189,2059885,"fliG",7
"550","chr1",2059886,2061276,"fliH",12
"551","chr1",2061282,2061725,"fliI",20
"552","chr1",2063043,2063520,"fliK",12
"553","chr1",2063521,2064518,"fliL",2
"554","chr1",2064519,2064946,"fliM",2
"555","chr1",2064946,2065309,"fliN",3
"556","chr1",2065310,2066060,"fliO",8
"557","chr1",2066060,2066331,"fliP",6
"558","chr1",2066332,2067142,"fliQ",2
"559","chr1",2067341,2068047,"fliR",2
"560","chr1",2051210,2051592,"fliS",NA
"561","chr1",2051650,2053148,"fliT",4
"562","chr1",2044134,2044696,"fliY",14
"563","chr1",2044744,2045477,"fliZ",7
"564","chr1",2913234,2914761,"fljA",5
"565","chr1",2914839,2915418,"fljB",1
"566","chr1",2484592,2485782,"flk",13
"567","chr1",3578467,3579756,"fmt",4
"568","chr1",1755258,1756218,"fnr",5
"569","chr1",1058703,1060463,"focA",4
"570","chr1",101424,102272,"folA",2
"571","chr1",3371947,3372570,"folB",2
"572","chr1",2478689,2479694,"folC",7
"573","chr1",604107,604675,"folD",6
"574","chr1",2291440,2292285,"folE",1
"575","chr1",213874,215292,"folK",12
"576","chr1",3464697,3466631,"folP",4
"577","chr1",414813,415461,"foxA",18
"578","chr1",4293233,4294243,"fpr",9
"579","chr1",4586097,4587088,"frdA",16
"580","chr1",4583998,4585927,"frdB",4
"581","chr1",4583271,4583997,"frdC",2
"582","chr1",4582865,4583270,"frdD",4
"583","chr1",257836,259043,"frr",1
"584","chr1",2305285,2306222,"fruA",21
"585","chr1",2307722,2308903,"fruF",6
"586","chr1",2306223,2307368,"fruK",5
"587","chr1",139931,140387,"fruR",10
"588","chr1",553624,555289,"fsr",11
"589","chr1",2029931,2030181,"ftn",5
"590","chr1",2027919,2028565,"ftnB",1
"591","chr1",155670,156834,"ftsA",4
"592","chr1",3738758,3740250,"ftsE",5
"593","chr1",143469,144948,"ftsI",14
"594","chr1",1041561,1042183,"ftsK",43
"595","chr1",141709,143468,"ftsL",2
"596","chr1",4302194,4303230,"ftsN",12
"597","chr1",149947,151024,"ftsW",7
"598","chr1",3738087,3738757,"ftsX",13
"599","chr1",3740341,3740932,"ftsY",5
"600","chr1",156919,157852,"ftsZ",6
"601","chr1",3128214,3130001,"fucA",2
"602","chr1",3130090,3131508,"fucI",12
"603","chr1",3131509,3131944,"fucK",16
"604","chr1",3125676,3126333,"fucO",7
"605","chr1",3132771,3133863,"fucR",3
"606","chr1",3131988,3132712,"fucU",6
"607","chr1",1543884,1545391,"fumA",19
"608","chr1",4547123,4548477,"fumB",11
"609","chr1",1545392,1546321,"fumC",18
"610","chr1",3601776,3602259,"fusA",5
"611","chr1",4573273,4574529,"fxsA",3
"612","chr1",2941587,2942884,"gabD",14
"613","chr1",2944444,2945133,"gabP",19
"614","chr1",2943003,2944414,"gabT",13
"615","chr1",841823,842736,"galE",9
"616","chr1",2180025,2181436,"galF",10
"617","chr1",839527,840583,"galK",8
"618","chr1",838376,839526,"galM",9
"619","chr1",3254819,3255316,"galP",10
"620","chr1",3171660,3172691,"galR",13
"621","chr1",2289285,2290436,"galS",8
"622","chr1",840584,841667,"galT",11
"623","chr1",1848933,1849959,"galU",3
"624","chr1",1369983,1370434,"gapA",5
"625","chr1",3420487,3421440,"garD",15
"626","chr1",3416460,3417368,"garK",12
"627","chr1",3418659,3420247,"garL",1
"628","chr1",3417376,3418158,"garR",6
"629","chr1",200804,201352,"gcd",35
"630","chr1",579254,580040,"gcl",19
"631","chr1",3373960,3374277,"gcp",12
"632","chr1",2657401,2658405,"gcpE",16
"633","chr1",3135542,3135781,"gcvA",6
"634","chr1",3215594,3216838,"gcvH",2
"635","chr1",3215179,3215582,"gcvP",52
"636","chr1",2605621,2606108,"gcvR",2
"637","chr1",3217143,3218357,"gcvT",10
"638","chr1",1380198,1380443,"gdhA",9
"639","chr1",3722330,3722758,"ggt",35
"640","chr1",356063,356810,"ghmA",3
"641","chr1",4084179,4084622,"gidA",16
"642","chr1",4081911,4083812,"gidB",4
"643","chr1",580131,581019,"gip",8
"644","chr1",4323831,4324504,"gldA",9
"645","chr1",3702824,3704133,"glgA",10
"646","chr1",3708640,3709761,"glgB",17
"647","chr1",3704134,3706106,"glgC",6
"648","chr1",3701391,3702823,"glgP",28
"649","chr1",3359775,3360408,"glgS",2
"650","chr1",3706107,3708307,"glgX",16
