chrm,start,end,gene
chr1,218296,220783,hrpB
chr1,220911,223446,mrcB
chr1,223726,225928,fhuA
chr1,225977,226774,fhuC
chr1,226774,227664,fhuD
chr1,227651,229718,fhuB
chr1,230647,231218,stfA
chr1,231287,233961,stfC
chr1,233964,234731,stfD
chr1,234737,235262,stfE
chr1,235245,235735,stfF
chr1,235718,236265,stfG
chr1,236265,237104,STM0201
chr1,237212,238505,hemL
chr1,238662,240083,yadQ
chr1,240120,240509,yadR
chr1,240610,241247,yadS
chr1,241270,242077,btuF
chr1,242063,242761,pfs
chr1,242840,244363,dgt
chr1,244493,245920,htrA
chr1,246061,247230,cdaR
chr1,247319,247717,yaeH
chr1,247943,249253,STM0212
chr1,249290,250114,dapD
chr1,250144,252825,glnD
chr1,253053,253860,map
chr1,254285,255023,rpsB
chr1,255269,256132,tsf
chr1,256265,257002,pyrH
chr1,257136,257706,frr
chr1,257836,259043,dxr
chr1,259337,260114,uppS
chr1,260114,260984,cdsA
chr1,260988,262348,yaeL
chr1,262380,264794,yaeT
chr1,264905,265402,hlpA
chr1,265391,266431,lpxD
chr1,266524,266992,fabZ
chr1,266984,267784,lpxA
chr1,267768,268932,lpxB
chr1,268915,269525,rnhB
chr1,269536,273031,dnaE
chr1,272938,274003,accA
chr1,274177,275947,STM0233
chr1,276012,278164,ldcC
chr1,278209,278609,yaeR
chr1,278665,279964,mesJ
chr1,280048,280321,rof
chr1,280295,280517,yaeP
chr1,280680,281238,yaeQ
chr1,281220,281657,yaeJ
chr1,282468,284202,proS
chr1,284297,285012,yaeB
chr1,285001,285416,rcsF
chr1,285524,286351,yaeC
chr1,286378,287044,yaeE
chr1,287024,288063,abc
chr1,288230,288811,yaeD
chr1,289190,290733,rrsH
chr1,290801,290874,ileV
chr1,290987,291059,alaV
chr1,291245,294337,rrlH
chr1,294520,294641,rrfH
chr1,294839,294912,aspU
chr1,295060,295873,yafB
chr1,295894,296819,yafC
chr1,296901,298088,STM0257
chr1,298241,299020,yafD
chr1,299083,299868,yafE
chr1,299924,301291,dniR
chr1,301363,302128,gloB
chr1,302140,302875,yafS
chr1,302872,303356,rnhA
chr1,303403,304134,dnaQ
chr1,304278,304351,aspV
chr1,304666,305721,STM0266
chr1,305732,306732,STM0267
chr1,306724,308613,STM0268
chr1,308623,309125,STM0269
chr1,309114,309944,STM0270
chr1,309925,310832,STM0271
chr1,311190,313834,STM0272
chr1,313927,314476,STM0273
chr1,314493,316008,STM0274
chr1,316071,316181,STM0274A
chr1,316308,316640,STM0275
chr1,316888,317379,STM0276
chr1,317678,318169,STM0277
chr1,318150,318537,STM0278
chr1,318674,319165,STM0279
chr1,319225,319768,STM0280
chr1,319768,321115,STM0281
chr1,321106,322416,STM0282
chr1,322414,323194,STM0283
chr1,323391,323828,STM0284
chr1,323857,327731,STM0285
chr1,327726,328519,STM0286
chr1,328510,328932,STM0287
chr1,328950,329477,STM0288
chr1,329867,332063,STM0289
chr1,332080,332533,STM0290
chr1,332541,336646,STM0291
chr1,337088,337836,STM0292
chr1,337825,338276,STM0293
chr1,338835,339276,STM0294
chr1,340039,340353,STM0295
chr1,340455,340703,STM0296
chr1,342207,342722,safA
chr1,342830,343543,safB
chr1,343560,346077,safC
chr1,346092,346569,safD
chr1,346968,347796,ybeJ
chr1,348606,349558,sinR
chr1,349672,349890,STM0305
chr1,349894,350619,STM0306
chr1,350944,351358,STM0307
chr1,351722,352503,yafV
chr1,352598,355058,yafH
chr1,355270,355860,ghmA
chr1,356063,356840,yafJ
chr1,356811,357565,yafK
chr1,357788,358856,dinP
chr1,360188,360818,prfH
chr1,360974,362444,pepD
chr1,362662,363138,gpt
chr1,363212,364471,yafA
chr1,364517,364930,crl
chr1,364981,366179,phoE
chr1,366309,367419,proB
chr1,367418,368681,proA
chr1,368807,368879,thrW
chr1,369153,369380,STM0324
chr1,369198,369998,STM0325
chr1,370726,371063,STM0327
chr1,371397,372642,STM0328
chr1,372766,374195,STM0329
chr1,374190,374823,STM0330
chr1,374831,375716,STM0331
chr1,375712,376630,STM0332
chr1,376656,377629,STM0333
chr1,377574,377854,STM0334
chr1,378531,378935,STM0335
chr1,378982,379748,stbE
chr1,379706,381038,stbD
chr1,381036,383603,stbC
chr1,383581,384357,stbB
chr1,384404,384948,stbA
chr1,385574,386338,STM0341
chr1,386306,386610,STM0342
chr1,387105,388684,STM0343
chr1,388778,389527,STM0344
chr1,389494,389988,STM0345
chr1,390383,390913,STM0346
chr1,391057,391698,STM0347
chr1,391703,391933,STM0348
chr1,391984,392350,STM0349
chr1,392420,393948,STM0350
chr1,393894,397067,STM0351
chr1,397058,398290,STM0352
chr1,398554,400849,STM0353
chr1,400853,401325,STM0354
chr1,401396,401597,STM0355
chr1,401883,403143,STM0356
chr1,403326,405290,mod
chr1,405293,408272,res
chr1,408544,408650,STM0359
chr1,408761,410170,STM0360
chr1,410159,411177,STM0361
chr1,411177,411308,STM0362
chr1,411510,412518,STM0363
chr1,412664,414772,foxA
chr1,414813,415461,yahN
chr1,415665,415952,yahO
chr1,416088,417730,prpR
chr1,417967,418865,prpB
chr1,418979,420157,prpC
chr1,420182,421648,prpD
chr1,421677,423575,prpE
chr1,423679,424663,hemB
chr1,425151,428102,yaiU
chr1,428177,428811,yaiV
chr1,428856,429986,ampH
chr1,430348,431580,sbmA
chr1,431584,432689,yaiW
chr1,432727,433047,yaiY
chr1,433292,433518,yaiZ
chr1,433544,434656,ddlA
chr1,434712,435429,STM0381
chr1,435598,436809,STM0382
chr1,437092,437366,yaiB
chr1,437706,438038,psiF
chr1,438111,439242,yaiC
chr1,439257,440080,proC
chr1,440194,440661,yaiI
chr1,440687,441391,aroL
chr1,441407,441609,yaiA
chr1,441846,442537,aroM
chr1,442595,442892,yaiE
chr1,442930,443853,rdgC
chr1,443955,444875,yajF
chr1,444897,446125,araJ
chr1,446242,449396,sbcC
chr1,449379,450592,sbcD
chr1,450723,451485,phoB
chr1,451540,452850,phoR
chr1,453243,454578,brnQ
chr1,454644,456023,proY
chr1,456172,458002,malZ
chr1,458074,458684,STM0402
chr1,458886,459478,yajB
chr1,459561,460625,queA
chr1,460811,461949,tgt
chr1,461960,462304,yajC
chr1,462320,464179,secD
chr1,464178,465161,secF
chr1,465301,465674,STM0409
chr1,465700,466392,STM0410
chr1,466546,466909,yajD
chr1,467157,467483,STM0412
chr1,467538,468539,tsx
chr1,468701,469255,yajI
chr1,469381,469841,ybaD
chr1,469833,470948,ribD
chr1,471023,471507,ribH
chr1,471516,471947,nusB
chr1,472014,473003,thiL
chr1,472970,473496,pgpA
chr1,473600,474587,yajO
chr1,474631,476493,dxs
chr1,476517,477431,ispA
chr1,477417,477679,xseB
chr1,477869,479317,thiI
chr1,479361,480165,phnV
chr1,480161,481027,phnU
chr1,481024,482133,phnT
chr1,482139,483157,phnS
chr1,483350,484085,phnR
chr1,484203,485312,phnW
chr1,485312,486131,phnX
chr1,486228,486831,thiJ
chr1,486781,487703,apbA
chr1,487800,488309,yajQ
chr1,488356,489705,yajR
chr1,489948,490109,STM0436A
chr1,490250,491768,STM0437
chr1,491986,493273,STM0438
chr1,493355,494254,cyoE
chr1,494257,494600,cyoD
chr1,494586,495212,cyoC
chr1,495190,497193,cyoB
chr1,497192,498229,cyoA
chr1,498601,500094,ampG
chr1,500120,500760,yajG
chr1,500990,501319,bolA
chr1,501655,502964,tig
chr1,503199,503834,clpP
chr1,504073,505357,clpX
chr1,505532,507897,lon
chr1,508058,508378,hupB
chr1,508651,510540,cypD
chr1,510676,511064,ybaV
chr1,511154,511566,ybaW
chr1,511672,512377,ybaX
chr1,512432,514142,ybaE
chr1,514221,515051,cof
chr1,515101,516161,STM0458
chr1,516258,516727,ybaO
chr1,516755,518540,mdlA
chr1,518520,520314,mdlB
chr1,520515,520865,glnK
chr1,520883,522183,amtB
chr1,522283,523156,tesB
chr1,523346,523927,ybaY
chr1,523960,524359,ybaZ
chr1,524427,524542,ffs
chr1,524580,526142,ylaB
chr1,526346,526615,rpmE2
chr1,526616,526761,rpmJ2
chr1,526817,527297,ylaC
chr1,527404,527969,maa
chr1,528134,528364,hha
chr1,528380,528767,ybaJ
chr1,529250,532415,acrB
chr1,532422,533626,acrA
chr1,533757,534410,acrR
chr1,534529,537891,aefA
chr1,537933,538874,STM0479
chr1,538938,539116,ybaM
chr1,539119,539634,priC
chr1,539715,540092,ybaN
chr1,540232,540796,apt
chr1,540910,542838,dnaX
chr1,542874,543213,ybaB
chr1,543199,543818,recR
chr1,543905,545803,htpG
chr1,546029,546688,adk
chr1,546908,547879,hemH
chr1,547876,548859,aes
chr1,549000,550304,gsk
chr1,550353,552040,ybaL
chr1,552244,553464,fsr
chr1,553624,555289,ushA
chr1,555406,555895,ybaK
chr1,556087,556893,ybaP
chr1,556967,557800,STM0497
chr1,557948,560463,copA
chr1,560548,560975,cueR
chr1,560976,561440,ybbJ
chr1,561425,562356,ybbK
chr1,562474,563166,ybbL
chr1,563140,563932,ybbM
chr1,564018,564872,ybbN
chr1,564932,565713,ybbO
chr1,565857,566488,tesA
chr1,566430,567128,ybbA
chr1,567114,569539,ybbP
chr1,569718,570858,STM0509
chr1,571109,571945,sfbA
chr1,571975,572998,sfbB
chr1,572984,573650,sfbC
chr1,573689,574801,ybbB
chr1,574853,575795,ybbS
chr1,575994,576488,allA
chr1,576550,577385,allR
chr1,577456,579251,gcl
chr1,579254,580040,gip
chr1,580131,581019,glxR
chr1,581079,582332,STM0520
chr1,582408,582662,ybbV
chr1,582569,583882,allP
chr1,583949,585322,allB
chr1,585370,586679,ybbY
chr1,586691,587850,glxK
chr1,587930,588727,ylbA
chr1,588726,589973,allC
chr1,589983,591043,allD
chr1,591352,593027,fdrA
chr1,593026,594296,ylbE
chr1,594308,595117,ylbF
chr1,595110,596014,arcC
chr1,596055,597134,purK
chr1,597119,597717,purE
chr1,597746,598468,lpxH
chr1,598471,598977,ppiB
chr1,599126,600523,cysS
chr1,600567,601395,STM0538
chr1,601388,601832,STM0539
chr1,601818,602363,ybcI
chr1,602491,602715,ybcJ
chr1,602705,603588,folD
chr1,604107,604675,fimA
chr1,604747,605284,fimI
chr1,605313,606020,fimC
chr1,606039,608663,fimD
chr1,608664,609685,fimH
chr1,609684,610213,fimF
chr1,610259,610904,fimZ
chr1,611495,612223,fimY
chr1,612236,612555,STM0551
chr1,612709,613311,fimW
chr1,613570,613643,argU
chr1,613596,613797,STM0554
chr1,614807,616459,STM0557
chr1,616440,617378,yfdH
chr1,617363,617725,rfbI
chr1,618593,618927,STM0561
chr1,619026,619210,STM0562
chr1,619261,620126,STM0563
chr1,620318,621656,STM0564
chr1,621801,622049,STM0565
chr1,622048,622622,STM0566
chr1,622701,623882,STM0567
chr1,624190,625596,pheP
chr1,625638,626896,ybdG
chr1,627189,629166,apeE
chr1,629328,632062,STM0571
chr1,632190,633188,STM0572
chr1,633243,634290,STM0573
chr1,634319,635181,STM0574
chr1,635176,635926,STM0575
chr1,635934,636410,STM0576
chr1,636382,636838,STM0577
chr1,637031,637695,nfnB
chr1,637781,638160,ybdF
chr1,638149,638735,STM0580
chr1,639012,639360,STM0581
chr1,639366,639614,ybdJ
chr1,639681,640799,ybdK
chr1,640811,641534,entD
chr1,641561,643981,fepA
chr1,643995,645219,fes
chr1,645242,645468,ybdZ
chr1,645454,649349,entF
chr1,649586,650735,fepE
chr1,650788,651599,fepC
chr1,651579,652584,fepG
chr1,652568,653728,fepD
chr1,653675,654930,ybdA
chr1,654993,656126,fepB
chr1,656212,657433,entC
chr1,657432,659053,entE
chr1,659053,659924,entB
chr1,659911,660679,entA
chr1,660668,661095,ybdB
chr1,661264,663382,cstA
chr1,663439,663643,ybdD
chr1,663679,664781,ybdH
chr1,664876,666054,ybdL
chr1,666055,666689,ybdM
chr1,666645,667897,ybdN
chr1,668046,668961,ybdO
chr1,669265,670022,dsbG
chr1,670350,671015,ahpC
chr1,671245,672822,ahpF
chr1,673148,673714,STM0610
chr1,673695,675986,STM0611
chr1,675977,676540,STM0612
chr1,676533,677307,STM0613
chr1,677375,677818,ybdQ
chr1,678015,679264,ybdR
chr1,679347,679769,rnk
chr1,679992,680798,rna
chr1,680908,682385,citT
chr1,682409,683318,citG
chr1,683277,683846,citX
chr1,683832,685372,citF
chr1,685371,686290,citE
chr1,686276,686582,citD
chr1,686569,687661,citC
chr1,688019,689691,dpiB
chr1,689647,690340,dpiA
chr1,690394,691790,dcuC
chr1,692158,692730,pagP
chr1,692906,693127,cspE
chr1,693185,693580,crcB
chr1,693642,694447,ybeM
chr1,694567,694779,ybeC
chr1,694865,695846,lipA
chr1,696036,697002,ybeF
chr1,697291,697872,lipB
chr1,698032,698306,ybeD
chr1,698404,699615,dacA
chr1,699755,700912,rlpA
chr1,700911,702037,mrdB
chr1,702026,703945,mrdA
chr1,703958,704438,ybeA
chr1,704429,704758,ybeB
chr1,705075,705693,cobC
chr1,705773,706874,cobD
chr1,706849,707499,nadD
chr1,707492,708523,holA
chr1,708523,709121,rlpB
chr1,709128,711727,leuS
chr1,711947,712288,STM0649
chr1,712300,713477,STM0650
chr1,713522,714480,STM0651
chr1,714541,716476,STM0652
chr1,716558,717042,ybeL
chr1,717081,718096,ybeQ
chr1,718188,718908,ybeR
chr1,718897,720338,ybeS
chr1,720336,721045,ybeU
chr1,721026,722514,ybeV
chr1,722536,724215,hscC
chr1,724291,725535,STM0660
chr1,725561,726507,ybeK
chr1,726613,727350,gltL
chr1,727338,728026,gltK
chr1,728012,728765,gltJ
chr1,728912,729847,gltI
chr1,730175,731724,lnt
chr1,731733,732629,ybeX
chr1,732769,733259,ybeY
chr1,733239,734331,phoL
chr1,734490,735914,miaB
chr1,736044,737233,ubiF
chr1,737300,737878,STM0672
chr1,738014,738085,glnX
chr1,738132,738203,glnV
chr1,738253,738326,metU
chr1,738345,738416,glnW
chr1,738455,738526,glnU
chr1,738553,738634,leuW
chr1,738646,738719,metT
chr1,738942,740618,asnB
chr1,740896,741659,nagD
chr1,741695,742921,nagC
chr1,742920,744086,nagA
chr1,744134,745013,nagB
chr1,745168,747213,nagE
chr1,747412,749091,glnS
chr1,749525,750943,ybfM
chr1,750981,751325,ybfN
chr1,751374,752685,citA
chr1,752729,753875,citB
chr1,753855,755263,STM0691
chr1,755356,756295,STM0692
chr1,756397,757003,fur
chr1,757131,757676,fldA
chr1,757812,758122,ybfE
chr1,758239,759009,ybfF
chr1,759184,759736,seqA
chr1,759749,761401,pgm
chr1,761516,762001,STM0699
chr1,762066,763399,potE
chr1,763382,765590,speF
chr1,766342,767027,kdpE
chr1,767016,769717,kdpD
chr1,769697,770291,kdpC
chr1,770290,772353,kdpB
chr1,772359,774130,kdpA
chr1,774038,774134,STM0707
chr1,774450,774670,ybfA
chr1,774771,776202,phrB
chr1,776241,777733,ybgH
chr1,778039,778794,ybgI
chr1,778799,779466,ybgJ
chr1,779449,780392,ybgK
chr1,780368,781116,ybgL
chr1,781440,781571,STM0715
chr1,781618,782197,STM0716
chr1,782650,782992,STM0717
chr1,782988,783734,STM0718
chr1,784020,785171,STM0719
chr1,785168,786064,STM0720
chr1,786070,787210,STM0721
chr1,787333,788109,STM0722
chr1,788108,788823,STM0723
chr1,788912,790695,STM0724
chr1,790884,791721,STM0725
chr1,791779,793674,STM0726
chr1,793737,793879,STM0727
chr1,793916,794719,nei
chr1,794774,795833,abrB
chr1,795957,797303,gltA
chr1,797200,797586,STM0731
chr1,797906,798384,sdhC
chr1,798365,798725,sdhD
chr1,798708,800491,sdhA
chr1,800494,801224,sdhB
chr1,801627,804549,sucA
chr1,804553,805772,sucB
chr1,805897,807080,sucC
chr1,807066,807949,sucD
chr1,809352,811100,cydA
chr1,811103,812255,cydB
chr1,812263,812383,ybgT
chr1,812505,812801,ybgE
chr1,813018,813434,ybgC
chr1,813417,814123,tolQ
chr1,814115,814555,tolR
chr1,814607,815843,tolA
chr1,815950,817259,tolB
chr1,817280,817818,pal
chr1,817819,818616,ybgF
chr1,818778,818850,lysT
chr1,818985,819057,valT
chr1,819064,819136,lysW
chr1,819189,819261,lysY
chr1,819399,819471,lysZ
chr1,820225,821279,nadA
chr1,821292,822023,pnuC
chr1,822020,822971,ybgR
chr1,823069,823467,ybgS
chr1,823653,824827,aroG
chr1,824921,825473,STM0761
chr1,825481,826333,STM0762
chr1,826495,827346,STM0763
chr1,827347,828330,STM0764
chr1,828574,829821,STM0765
chr1,829871,830116,dcoC
chr1,831914,833223,dcoB
chr1,833335,834040,STM0769
chr1,834420,835499,STM0770
chr1,835495,836275,STM0771
chr1,836366,837131,gpmA
chr1,837342,838395,galM
chr1,838376,839537,galK
chr1,839527,840585,galT
chr1,840584,841667,galE
chr1,841823,842736,STM0777
chr1,842902,844389,modF
chr1,844445,845245,modE
chr1,845350,845511,STM0780
chr1,845608,846451,modA
chr1,846432,847140,modB
chr1,847129,848201,modC
chr1,848202,849032,ybhA
chr1,849173,850179,ybhE
chr1,850323,851618,ybhC
chr1,851838,853067,hutI
chr1,853057,854005,hutG
chr1,854043,854775,hutC
chr1,856651,858178,hutH
chr1,858263,858750,ybhB
chr1,858797,860137,bioA
chr1,860127,861213,bioB
chr1,861199,862367,bioF
chr1,862338,863106,bioC
chr1,863083,863785,bioD
chr1,864348,866457,uvrB
chr1,866766,866939,STM0799
chr1,866940,869244,slrP
chr1,869336,870255,ybhK
chr1,870632,871630,moaA
chr1,871639,872164,moaB
chr1,872156,872652,moaC
chr1,872632,872890,moaD
chr1,872879,873344,moaE
chr1,873380,874096,ybhL
chr1,874243,874950,ybhM
chr1,874968,875582,STM0809
chr1,875583,876150,STM0810
chr1,876153,877131,ybhN
chr1,877115,878370,ybhO
chr1,878353,879121,ybhP
chr1,879231,879654,ybhQ
chr1,879616,880732,ybhR
chr1,880838,881981,ybhS
chr1,881961,883707,ybhF
chr1,883690,884700,STM0818
chr1,884685,885370,ybiH
chr1,885578,886953,rhlE
chr1,887150,889305,dinG
chr1,889323,890309,ybiB
chr1,890465,890737,ybiJ
chr1,891010,891288,ybiI
chr1,891469,892407,ybiN
chr1,892404,894634,ybiO
chr1,894745,895482,glnQ
chr1,895464,896135,glnP
chr1,896267,897024,glnH
chr1,897490,898127,dps
chr1,898296,899194,ybiF
chr1,899528,900052,ompX
chr1,900115,901702,ybiP
chr1,902263,902747,STM0835
chr1,902728,903856,ybiR
chr1,903900,904836,ybiS
chr1,905027,906631,ybiT
chr1,907240,907983,STM0839
chr1,908012,908739,ybiV(2)
chr1,908936,910210,ybiU
chr1,910450,911272,ybiV(1)
chr1,911350,913795,pflF
chr1,913788,914697,pflE
chr1,914965,915727,moeB
chr1,915714,916962,moeA
chr1,917139,918093,ybiK
chr1,918092,919975,yliA
chr1,919996,921546,yliB
chr1,921595,922527,yliC
chr1,922515,923441,yliD
chr1,923532,924857,yliG
chr1,925072,925471,yliH
chr1,926180,926699,STM0854
chr1,926613,927471,STM0855
chr1,927475,928429,STM0856
chr1,928716,929886,STM0857
chr1,930328,932020,STM0858
chr1,932026,932916,STM0859
chr1,933181,933609,STM0860
chr1,933942,934633,yliI
chr1,934630,935267,yliJ
chr1,935480,936702,dacC
chr1,936747,937515,deoR
chr1,937577,938194,ybjG
chr1,938490,939730,mdfA
chr1,939784,940613,STM0867
chr1,940596,941820,STM0868
chr1,941963,942595,STM0869
chr1,942712,944412,STM0870
chr1,944656,945045,ybjM
chr1,945077,945350,grxA
chr1,945500,945800,ybjC
chr1,945772,946506,mdaA
chr1,946554,947466,rimK
chr1,947547,948039,ybjN
chr1,948375,949500,potF
chr1,949574,950721,potG
chr1,950720,951684,potH
chr1,951667,952526,potI
chr1,952585,953073,ybjO
chr1,953103,954246,ybjF
chr1,954525,955872,STM0884
chr1,955896,956222,STM0885
chr1,956226,957719,STM0886
chr1,957938,958683,artJ
chr1,958906,959589,artM
chr1,959574,960305,artQ
chr1,960297,961028,artI
chr1,961046,961774,artP
chr1,962004,962531,ybjP
chr1,962615,963952,STM0893
chr1,963968,964216,STM0894
chr1,964576,964890,STM0895
chr1,965344,965740,STM0896
chr1,966312,966733,STM0897
chr1,967914,968613,STM0898
chr1,968722,968976,STM0898A
chr1,969470,969844,STM0899
chr1,969994,971585,STM0900
chr1,971577,972550,STM0901
chr1,972544,973410,STM0902
chr1,973402,974222,STM0903
chr1,974377,974777,STM0904
chr1,975827,976225,STM0905
chr1,976808,977159,STM0906
chr1,977156,977776,STM0907
chr1,977762,978258,STM0908
chr1,979087,979584,STM0909
chr1,979563,981679,STM0910
chr1,981873,983414,STM0911
chr1,983260,985452,STM0912
chr1,985466,986140,STM0913
chr1,986129,986720,STM0914
chr1,986712,987118,STM0915
chr1,987122,987872,STM0916
chr1,988334,988656,STM0917
chr1,988621,991789,STM0918
chr1,991782,992118,STM0919
chr1,992238,992763,STM0920
chr1,992889,993590,STM0921
chr1,993596,994336,STM0922
chr1,994228,994911,STM0923
chr1,994965,995495,STM0924
chr1,995583,999029,STM0925
chr1,999067,1001445,STM0926
chr1,1001440,1002020,STM0927
chr1,1002091,1003333,nanH
chr1,1003903,1004278,STM0929
chr1,1005356,1005693,STM0930
chr1,1005673,1006520,ybjR
chr1,1006517,1007540,STM0932
chr1,1007626,1009071,ybjT
chr1,1009070,1010083,ltaA
chr1,1010110,1011844,poxB
chr1,1011986,1012967,hcr
chr1,1012966,1014629,hcp
chr1,1014762,1015677,ybjE
chr1,1015855,1017521,ybjD
chr1,1017518,1018486,ybjX
chr1,1018604,1019732,ybjY
chr1,1019716,1021675,ybjZ
chr1,1021805,1022040,cspD
chr1,1022350,1022670,yljA
chr1,1022655,1024977,clpA
chr1,1025163,1025627,tnpA_1
chr1,1027444,1027528,serW
chr1,1027682,1028366,STM0950
chr1,1028379,1029247,STM0951
chr1,1029343,1030259,STM0952
chr1,1030350,1030577,infA
chr1,1030496,1030885,STM0954
chr1,1030880,1031600,aat
chr1,1031629,1033365,cydC
chr1,1033351,1035117,cydD
chr1,1035231,1036210,trxB
chr1,1036670,1037239,lrp
chr1,1037360,1041429,ftsK
chr1,1041561,1042183,lolA
chr1,1042183,1043536,ycaJ
chr1,1043785,1045087,serS
chr1,1045269,1047768,dmsA
chr1,1047767,1048396,dmsB
chr1,1048385,1049261,dmsC
chr1,1049598,1050759,ycaD
chr1,1050965,1052398,ycaM
chr1,1052691,1053515,pflA
chr1,1053607,1053936,STM0971
